t,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_5_Obs
0,0.0288354030954808,0.0290305408100823,52.4645342529964
6,0.030719785912963,NaN,NaN
7.5,NaN,NaN,48.8530493511702
9.5,NaN,0.0304311347964929,NaN
10,0.0273091389208565,NaN,NaN
15,NaN,NaN,41.6460613927395
20,0.0216128203003149,0.0278851723429244,NaN
25,0.0174904070784257,NaN,44.660927986957
30,NaN,0.0251545930155488,58.5979779767543
35,0.0100413349873355,NaN,NaN
40,NaN,NaN,48.3259734600634
45,0.00552561909904992,0.0141762609902408,NaN
50,NaN,NaN,48.6681838747051
55,0.0016855329771156,NaN,NaN
60,NaN,0.00578574272097172,46.4169343293982
75,NaN,0.00235019702865299,45.3675711866514
90,NaN,NaN,43.6881133550094
100,NaN,NaN,48.9849663488522
150,NaN,NaN,44.5276135769237
