t,CISHnRNA3_Obs,CISHnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_8_Obs
0,-0.00621625251136741,-6.49586812787318e-05,2.18472652496464,0.000661444469469347,0.108912206377961,62.4891117472773,3.10622561066283,1.82519099081877,2.59237408364263,-0.416516772542783
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.1717095493934,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,31.5520728741033,33.3008563358076,NaN,NaN,NaN
15,0.00933080151539861,NaN,NaN,0.0246894228624533,0.226894445101551,NaN,NaN,NaN,9.61941035277851,8.24776976481902
20,NaN,0.00527996860802627,0.010924988782811,NaN,NaN,34.3311827585566,23.3758552202965,21.8185420374396,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6379249849867,13.9875389543409
30,NaN,NaN,NaN,NaN,NaN,44.788495093086,NaN,12.644969817869,NaN,NaN
35,0.0629629368979682,NaN,NaN,0.0310453579003339,2.5321522310834,NaN,10.6457298743385,NaN,NaN,NaN
40,NaN,0.0424976274919087,NaN,NaN,NaN,NaN,NaN,9.56132131857932,19.0179134579393,18.0869135684117
45,NaN,NaN,-1.7454261683699,NaN,NaN,48.6937633914098,8.0087902381153,NaN,NaN,NaN
50,0.0995468587155506,NaN,NaN,0.0268136384732305,NaN,NaN,NaN,7.61204925275932,NaN,NaN
55,NaN,NaN,NaN,NaN,5.08987654692871,NaN,NaN,NaN,18.4599553322716,15.8753970100681
60,NaN,NaN,NaN,NaN,NaN,48.2914245227527,5.66874333637179,NaN,NaN,NaN
65,NaN,0.109013420971561,NaN,NaN,NaN,NaN,NaN,5.6448291333632,NaN,NaN
70,0.0978025329319134,NaN,5.47045392515832,0.0103264265862536,NaN,NaN,NaN,NaN,NaN,16.9843331999518
75,NaN,NaN,NaN,NaN,4.8546518785967,55.6427319894871,3.60755111776218,NaN,14.1648084462351,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.77827527296766,NaN,NaN
90,NaN,0.0827913363886952,NaN,NaN,NaN,39.4253996982226,3.3993854309405,NaN,NaN,8.96741721381206
95,0.0736492406191362,NaN,6.88831692279949,0.00626726714699115,3.04506964168854,NaN,NaN,NaN,6.41678244582568,NaN
100,0.0784327801354269,0.0791860604092044,8.97592206723625,0.0101208132336328,3.16301500434336,50.6141334830046,8.70438224182401,5.5715511903395,9.47138577795231,9.39497423248826
150,0.0534639406269537,0.0537572510413447,14.1320923997894,0.00784451530969925,1.60457504047255,51.0181321169597,4.85704255040413,10.4428510925768,5.01184179531546,2.89870038274845
200,0.0477957070911417,0.0676708471512907,15.5026089923212,0.0143117890455047,2.10040456912274,54.8638083538736,6.33180301222239,NaN,8.64240614237631,9.10567453269826
250,0.0446678827626239,0.0579422815998295,15.8174829801628,0.0102381539693429,1.87068048874065,NaN,NaN,NaN,NaN,9.84939522001784
300,NaN,NaN,17.9240229332076,NaN,0.800364630306372,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,18.2575303448544,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,16.9428788858608,NaN,NaN,NaN,NaN,NaN,NaN,NaN
