t,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.0168596485327869,-0.00239644753645747,-0.00854772110992522,-10.4622765792993,0.00754734393424733,1.58934725105032,50.2968734955913,1.1564244137669,3.29669191413636,0.806864234985843,2.73291225960427,28.7605529455221,59.0471346052381,-0.537289609732488
15,NaN,NaN,NaN,NaN,NaN,1.80779851916588,NaN,NaN,NaN,NaN,7.79437540887084,NaN,NaN,6.5420433461281
20,NaN,NaN,NaN,NaN,0.0961506793515097,NaN,31.8933200525868,NaN,20.9166568581683,21.7128301880964,NaN,NaN,NaN,NaN
25,0.122217946264974,0.035049697249172,-0.0116763955403644,NaN,NaN,NaN,NaN,16.4120554852812,NaN,NaN,12.8619831710982,47.8412908850192,1.97267905015874,NaN
30,NaN,NaN,NaN,2.21793109675857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.3927600243727
35,NaN,NaN,NaN,NaN,NaN,6.89049541547646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7184853917464,7.31527512826986,NaN,NaN,NaN,NaN
45,NaN,0.2372618134551,NaN,NaN,0.0878136321617921,NaN,39.8847157612639,NaN,NaN,NaN,22.779047336443,29.6230404135446,33.3023994519437,NaN
50,0.277429018141766,NaN,NaN,NaN,NaN,NaN,NaN,4.41284490986578,NaN,NaN,NaN,NaN,NaN,22.3065547043965
55,NaN,NaN,0.115263103018564,NaN,NaN,14.2479792714661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.2510537971107,4.28128471434617,26.2408955047702,NaN,NaN,NaN
65,NaN,NaN,NaN,9.09446181799112,NaN,NaN,44.4370845001545,NaN,NaN,NaN,NaN,NaN,NaN,24.3569612582668
70,NaN,NaN,NaN,NaN,0.0463074416086803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.9586674333546,NaN
75,NaN,0.330823932693973,NaN,NaN,NaN,13.0403399656224,NaN,3.66921967249691,NaN,NaN,NaN,34.6372319685385,NaN,NaN
80,0.258246031195752,NaN,0.271070892185004,NaN,NaN,NaN,NaN,NaN,13.9403944630221,3.77438643397521,18.8515241300303,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7450368410228
90,NaN,NaN,NaN,NaN,NaN,NaN,53.4301145455094,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,26.3525569322886,0.0134168032182632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.161685905937,NaN
100,0.145187116792893,0.227991880757527,0.262977250178061,NaN,NaN,6.75179947159122,39.9875875695956,3.69915669849928,9.27709587413312,4.0733788854186,7.66650763904512,33.515566608539,NaN,11.3936901513776
150,0.0895086172191264,0.0793232525243867,0.156279038126455,36.4804858673075,0.0177629641475736,4.13547289834119,45.7468883410487,5.5104646203843,9.44233326695503,6.20484778642662,6.14692546529598,22.4180888325522,86.6990735427971,8.83209937444539
200,0.085045247078106,0.113327486942648,0.112613828141097,33.0219781236369,0.0236585891827218,4.45543965993999,31.8873652605549,4.72955363083416,7.90169726295602,4.08486958378916,8.15887153345426,31.1025053587878,75.1917190415377,8.50168065113991
250,0.123728677680996,0.11584469958484,0.133899247053702,34.5046772059608,0.0164738951942163,3.11986104675657,48.9094916986461,5.72131369093692,7.78426642044214,4.37469678204205,NaN,26.999107497725,103.16012764417,NaN
300,0.0813275519464952,0.0672242862342393,0.141238296207067,51.5172159357773,NaN,NaN,53.7248111231934,3.7618799774197,5.30515538485438,4.94488876214098,NaN,32.0772542677605,79.639056962043,NaN
350,NaN,NaN,0.0854131016333291,38.6341199569793,NaN,NaN,NaN,5.32401663836766,NaN,5.06278083457954,NaN,NaN,94.0105270667655,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.1107008107517,82.5380147923183,NaN
450,NaN,NaN,NaN,41.4257480135975,NaN,NaN,NaN,6.194346190256,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,33.906755071371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,41.8611271557755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,35.2645827082443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,30.2596941695161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
