t,CISHnRNA3_Obs,CISHnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_8_Obs
0,-0.00943658386949841,-0.0307741017610271,0.457598437945806,0.00600404366945365,0.625457789449599,48.1936659641784,0.680557597145982,2.40280752705559,-0.584581114432074,4.38595175207036
5.5,NaN,NaN,NaN,NaN,NaN,22.0725611925504,NaN,34.4910143920643,NaN,NaN
6.5,NaN,NaN,NaN,0.0226481838404157,1.82114229260867,NaN,31.2934994914104,NaN,NaN,NaN
7,0.0117680806682105,0.00249488411419823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.936121660385714,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,38.1413586878972,NaN,28.7141340667156,1.91687901978693,5.71559143645321
15,0.0265213659716017,0.0120851409578796,-0.901651716433811,0.0561175904698976,0.781241521773835,34.7030680466625,26.126005462753,25.4144399641063,NaN,NaN
20,0.0313705681776602,0.0372660416692217,NaN,0.0861496658035851,2.47398477952647,49.3615975654726,20.4713055344463,NaN,11.3272093680517,10.1946917445733
25,NaN,NaN,-1.64639785641303,NaN,3.18355429534532,NaN,NaN,14.0237771390878,NaN,NaN
30,0.121343398990766,0.0986750895089955,0.463971663606976,0.0780575348282573,NaN,42.6252749685334,11.5658535914795,10.4428129178364,NaN,NaN
35,NaN,NaN,NaN,0.0736969022768749,5.94104341089937,52.9244809374828,NaN,NaN,19.3260159579328,17.0853375253254
40,0.235677725117155,0.151692373852435,0.404810453199412,NaN,NaN,NaN,7.38137429317366,4.8474996002022,NaN,NaN
45,NaN,NaN,NaN,0.0681365590265673,10.1983854772678,52.142120601358,NaN,NaN,17.9315083739775,22.1905481800611
50,0.292716297008015,0.227880302890467,NaN,NaN,NaN,NaN,5.51884830304372,5.02733388198157,NaN,NaN
55,NaN,NaN,2.69397503795631,0.0443257732859087,11.2346094290722,48.9752146181084,NaN,NaN,NaN,NaN
60,0.302485654368493,0.246935731596902,NaN,NaN,NaN,NaN,4.99614365834245,5.51184911136705,23.7186810605297,19.0728027422507
65,NaN,NaN,4.88671868396492,NaN,10.8752967533217,46.4288698141356,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.0294319691959425,NaN,NaN,NaN,2.65741753242685,NaN,NaN
75,0.212935971270266,0.246943224365416,NaN,NaN,9.68811504166781,NaN,2.87466519946096,NaN,20.2047082382112,16.8416000029141
80,NaN,NaN,11.2467579394844,NaN,NaN,52.9936505429681,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.0135787395853519,NaN,NaN,NaN,3.74403777200397,NaN,NaN
90,0.183074972158465,0.198261634611241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,6.92525954854558,51.8321291794382,1.34941394070269,NaN,9.47194517098992,11.0299655572919
100,0.137051486254109,0.180353679701233,19.9767154136486,-0.00306255237645927,5.40967849000071,58.5988527135641,1.98934403964484,3.65144782361491,5.30800788058358,9.07360017779935
150,0.0452470230703482,0.0626896964436147,29.5973286890051,NaN,2.67841139043846,NaN,NaN,NaN,8.23450656224068,0.89899972939188
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.34702098565496,4.25586179510159
