t,SOCS3nRNA5_Obs,SOCS3RNA_Obs,Compound_5_Obs
0,0.00347970078210856,0.00868786935728155,6.79373988514536
4.5,NaN,NaN,6.78527065472988
5,0.0023624178370116,NaN,NaN
8,NaN,0.00696499021835406,NaN
9.5,NaN,NaN,7.49377684359541
10,0.00169791007280642,NaN,NaN
15,0.00133580496410176,0.00522389660555344,6.1833672575669
20,0.00131328412493468,NaN,6.16267241554
25,NaN,0.00510643228919287,5.48015881585816
30,0.00130313848931865,NaN,5.65562622849865
35,0.00153905938504585,0.00413034661782767,NaN
40,NaN,NaN,5.67200469103521
45,0.00150242258889921,NaN,6.8085162859652
50,NaN,0.00317050972508425,NaN
55,NaN,NaN,6.63065170177576
60,0.00142023285486313,NaN,NaN
65,NaN,0.00351658719828077,6.49915230942516
70,0.0013542838083481,NaN,NaN
75,NaN,NaN,5.28082631834913
90,NaN,NaN,5.09343536481289
