t,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs
0,0.000422779327661651,0.000198078817854226,7.32322374327929e-05,0.0965766692760667,0.00566931774866496,156.426246248978,46.2628271196496,1.19681188546176,0.974574687289808,160.41065109097,121.163051261582
8,NaN,NaN,NaN,NaN,NaN,96.6291849538907,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,44.1859088483164,1.29466623496491,1.59860843054172,NaN,117.310386910922
15,0.000902811868027386,-5.76394672416169e-05,0.000493345457133972,0.0337073702132478,NaN,124.142582144732,NaN,NaN,NaN,140.447071755601,NaN
20,NaN,NaN,NaN,NaN,0.00407903277340308,NaN,63.1729816578415,2.03986505977538,1.39896923021036,NaN,98.9791692153051
25,NaN,NaN,NaN,NaN,NaN,143.247542387147,NaN,NaN,NaN,NaN,NaN
30,0.000811210369707018,0.000457138608472511,NaN,0.0333852590829837,NaN,NaN,61.0415290575035,1.33221190856235,NaN,195.714288206,NaN
35,NaN,NaN,0.000337598378712404,NaN,0.00389752217041211,123.295917161799,NaN,NaN,1.15870695657019,NaN,120.526493495182
45,0.0020779626377,0.00144509357226175,NaN,0.105267597834445,NaN,148.475449000905,51.619199105651,1.25763228918301,1.42608090211014,NaN,124.355122825001
50,NaN,NaN,0.000404340164364394,NaN,NaN,NaN,NaN,NaN,NaN,193.75188378456,NaN
55,NaN,NaN,NaN,NaN,0.00540422562042964,135.621876664489,56.6328245948831,1.79352695527325,NaN,NaN,NaN
60,NaN,0.00246658619982517,NaN,NaN,NaN,NaN,NaN,NaN,1.59373151690576,NaN,141.037485421899
65,0.00344124555052116,NaN,NaN,0.110236580931186,NaN,NaN,NaN,NaN,NaN,176.814300937261,NaN
70,NaN,NaN,0.00134333156829746,NaN,NaN,121.097310575041,43.6997550993263,1.33660944187694,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.33439005512275,NaN,120.211924993211
80,NaN,0.00343309579715932,NaN,NaN,0.00568422024889406,NaN,NaN,NaN,NaN,NaN,NaN
85,0.00327784403583898,NaN,NaN,0.130928356866094,NaN,123.543618492567,NaN,NaN,NaN,225.936113576328,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,64.4372147880105,1.25696938960194,NaN,NaN,145.043190396286
95,NaN,NaN,0.00264669396175418,NaN,NaN,NaN,NaN,NaN,1.82414967070341,NaN,NaN
100,0.00250854076651227,0.00286728233430638,0.00334256922819506,0.240956299329858,0.00503110353740929,128.103418086904,60.6451652706704,1.47426381581306,1.20511386227168,160.048276057812,129.996236042548
150,0.00126128697768857,0.00141014950874999,0.00193569816900722,0.440845327985616,0.00338209090868986,131.349099687242,44.8932221864114,1.57264945504445,1.30022034024225,173.869811796381,118.156342347263
200,0.000856155431288098,0.000618882363379635,0.00161136675264173,0.511455563292335,0.00435482818920823,NaN,NaN,NaN,1.65653398454775,197.590001686805,129.63982826079
250,0.000813076059044084,NaN,0.000658653936812671,0.4395553938741,0.00478722244783873,NaN,NaN,NaN,NaN,196.969551387791,NaN
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172.464313259111,NaN
