t,epo_level,SOCS3nRNA1_Obs,Compound_1_Obs,Compound_2_Obs
17,2.5e-09,-0.000560087586015771,42.8201255508149,5.54371726599861
17,2.5e-09,0.00161060992748004,51.7362864620029,1.24888457609974
17,2.5e-09,0.00424898174604143,52.1183558016012,2.77883252860327
17,2.5e-08,0.0388544076914288,26.1059382706839,21.029699234165
17,2.5e-08,0.0415013314545423,40.8927781475422,21.7852104595115
17,2.5e-08,0.0517163194872101,39.5244735837772,21.705610643608
17,1.25e-07,0.0789299794778427,31.1652286483182,26.7904384082806
17,1.25e-07,0.0893200913777353,31.8105079811958,25.0080249753561
17,1.25e-07,0.0965512364378577,32.4799132890847,23.6338664802501
17,2.5e-07,0.072786186970225,32.8463936100047,24.7493009049203
17,2.5e-07,0.0840857508589806,46.421118559239,23.4758056346312
17,2.5e-07,0.0993834365217193,30.2936908319212,23.5997931169707
17,1.25e-06,0.0995705470351718,41.3052128307894,19.2273940910749
17,1.25e-06,0.119767551802468,27.4496402544494,23.9024132071915
17,1.25e-06,0.120355573506427,36.6002714663528,19.7916639480149
17,2.5e-06,0.095730993428252,38.5180564100447,20.3629635567964
17,2.5e-06,0.100153752218719,32.2114656685494,20.0231925833547
17,2.5e-06,0.11389812725438,35.7115924106837,20.8701344151935
