t,STAT5_Obs,SOCS3nRNA5_Obs,Compound_5_Obs
0,5.08733952574046,0.00336352566101885,7.0889667183892
15,NaN,0.0321271534773735,NaN
30,NaN,0.00406759263333143,12.4491151571243
35,0.677464324273141,NaN,NaN
50,NaN,0.00294166533454731,NaN
65,NaN,0.00327649076481388,7.42491472765258
70,0.74473651279833,NaN,NaN
90,NaN,0.00341362915155024,NaN
100,0.927666814023466,0.00346950680546199,7.2105483329361
150,1.16008651813393,0.00352921165087907,8.28035485811928
200,1.67884179496307,NaN,7.70861349366781
250,1.60051722205851,NaN,6.31791874798524
300,NaN,NaN,8.76183696479236
350,1.39058950043847,NaN,NaN
