t,CISHnRNA2_Obs,Compound_2_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.000130126753680756,6.94431174525626,42.1160083928842,45.9216665593331,0.449927103412959
10,NaN,NaN,NaN,50.9598779629525,NaN
15,NaN,6.29806522187856,41.1384027648617,NaN,2.00336783451627
20,0.000336488941216652,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,51.6234550971272,NaN
30,NaN,5.74359338221855,42.6060203752297,NaN,2.83759893109626
35,0.00032912689414069,NaN,NaN,50.0634349443522,NaN
45,NaN,5.67735669447036,49.7370579582006,NaN,3.09272993112371
50,NaN,NaN,NaN,53.7294694822946,NaN
55,0.000257334218029039,NaN,NaN,NaN,NaN
60,NaN,5.422319155777,50.2474442007967,NaN,2.67099319222501
65,NaN,NaN,NaN,46.8529476435927,NaN
80,0.00025501769635482,5.94559738700105,50.1335918166624,52.0503039901164,1.87897319217913
100,0.00024183591217472,6.53545321354958,57.0005767112869,46.1205676005859,1.97948364042588
150,0.000208173559584053,6.17864352174982,40.9164869845856,54.4760965015972,1.48078012098406
200,0.000226740163211467,5.14890082458803,50.4788212048058,46.6599420401933,1.32885308727185
250,0.000217070195324742,7.28426697624703,48.7634757297789,52.2519095569391,1.44152621865615
300,NaN,5.60589731757223,NaN,NaN,1.06155150789429
