t,EpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.000908219741729463,-0.675323292833148,0.00139261342575926,-0.0020526311146438,1.67836576333097,72.0511045594138,3.14762126627397,46.2759459661739,136.37447847335,1.53951530109531
5,0.0314271765350619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,5.44416082002731,NaN,NaN,1.69423566800413,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,0.00804757017268379,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.00306693281331154,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,10.6448803983543,NaN,100.467353371204,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,9.57336218353437,NaN,NaN,4.55493425151895
10,0.0268281233085378,13.0819032542918,NaN,NaN,1.83200315412935,NaN,NaN,NaN,92.9874429798142,NaN
15,0.0356144976830422,NaN,0.0434979014362272,0.0263832976149297,NaN,NaN,NaN,103.218081563741,NaN,NaN
20,NaN,18.1912499778342,0.0587466012794181,NaN,2.70512107260255,13.1881790327758,24.9666457411217,NaN,147.099688677193,22.8996762631702
25,0.0298885878031037,18.1206286214561,NaN,0.0580591916482019,2.62581846473515,16.2006761725728,NaN,106.909897808729,NaN,29.6679262915608
30,0.0332273503049163,NaN,0.0496994929143696,0.0554015240739759,2.57551323675775,NaN,34.1287426760729,NaN,113.072764633137,NaN
35,NaN,13.2901292182298,NaN,NaN,NaN,19.6564128661824,NaN,110.304446387768,NaN,34.3823953896314
40,0.0339788519583889,NaN,0.0420329940834067,0.0538079776902109,2.73487644624677,NaN,38.0007224137362,NaN,NaN,NaN
45,NaN,10.6788597010084,NaN,NaN,NaN,32.7566306197606,NaN,100.846401923292,161.0541533749,NaN
50,NaN,NaN,0.0322412225753416,NaN,2.29769433477077,NaN,32.8351883159743,NaN,NaN,38.9558592038913
55,0.0323334081020088,7.63298738401182,NaN,0.0344128765244453,NaN,NaN,NaN,90.5085464155779,NaN,NaN
60,NaN,NaN,NaN,NaN,2.57650726965559,51.516154813731,26.7033534586324,NaN,126.343559381175,45.7348173940419
65,NaN,6.91991592008586,0.0192462564383894,0.0245955290148779,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,2.23742284938025,NaN,NaN,95.5506190871042,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,61.7293766226559,19.5206793289386,NaN,159.191664192221,51.4996900184308
80,NaN,4.1474990238438,0.0116685535532609,0.0172936492229142,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,2.68558890656247,NaN,NaN,83.6585752946885,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,69.4733596675285,NaN,NaN,168.745043734855,50.6767583914411
95,NaN,3.2904492736508,0.01209671254676,NaN,NaN,NaN,12.2553112557752,NaN,NaN,NaN
100,NaN,1.1450178739909,0.0103054797560001,0.0106495544440799,2.40503736739885,70.5869603808671,14.0088328505716,70.6347199261665,176.028607301106,52.4993593050098
150,NaN,NaN,NaN,NaN,NaN,63.2542090164971,11.6169478331308,72.1104894377342,164.877023414533,41.4192385848626
200,NaN,NaN,NaN,NaN,NaN,52.1553852244826,14.8410215518778,84.3016531642261,152.643790005903,40.6333521578998
