t,STAT5_Obs,SOCS3nRNA5_Obs,Compound_5_Obs
0,4.95670116933093,0.00180410298412802,6.97415422576153
15,NaN,0.02561050608157,NaN
30,NaN,NaN,12.3008255416847
35,NaN,0.00292163891785907,NaN
40,0.661583220745049,NaN,NaN
55,NaN,0.00356557549107886,NaN
65,NaN,NaN,9.13629335644281
80,0.595570016468512,0.00335367288908576,NaN
100,0.790059621815733,0.00319381530932772,8.60600016425444
150,0.873476824815157,0.00301432028473405,7.32806731292145
200,NaN,NaN,6.37572243454722
250,1.25665050006424,NaN,8.5338445224115
300,1.31767546671702,NaN,7.15897912719501
350,1.38125814110119,NaN,8.30660397564274
450,NaN,NaN,6.7199157134768
550,NaN,NaN,6.98251243204427
