t,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_5_Obs,Compound_7_Obs,Compound_8_Obs
0,-0.000220225139158677,-0.00321149672897291,58.7084942586597,8.84042885083218,0.889878204894807,-24.6715023312469,-44.0536293875437,36.6792737377887
8,NaN,1.11026995138427,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2913.56192392956
9.5,NaN,NaN,2706.02140629,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,8.24226003674908,56.8832434977768,2684.33716081341,2717.18717386287,NaN
15,NaN,-0.0275648004684109,NaN,NaN,NaN,NaN,NaN,NaN
20,0.000986930137712634,NaN,1398.00001003355,6.26465121093062,30.7143475941971,1601.31080637597,1506.0879708234,1529.92351723735
25,NaN,-0.00890900171300968,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,969.735423463222,NaN,NaN,NaN,789.917120469785,803.733405275088
35,NaN,-0.00855333446630944,NaN,9.44810499021227,10.3255864298032,750.559630260355,NaN,NaN
40,0.002827192728553,NaN,551.931794180936,NaN,NaN,NaN,NaN,365.573475777921
45,NaN,0.00631679332794773,NaN,9.3518440299399,10.9111233771278,476.316894444843,342.336388815212,NaN
50,NaN,NaN,250.398255883627,NaN,NaN,NaN,NaN,345.616115023851
55,NaN,NaN,NaN,NaN,NaN,NaN,184.25368576738,NaN
60,NaN,-0.0121730119198425,NaN,5.54918578672853,4.47740285283476,99.2255616211262,NaN,101.216091465319
65,0.00478391469322323,NaN,208.757163118074,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,139.345882268548,NaN
75,NaN,-0.0299695673841711,NaN,NaN,3.00112809777132,-32.3993032401819,NaN,38.4225392147703
80,NaN,NaN,69.8810193379758,8.99990037165658,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,5.47884002119508,NaN
90,0.00432370866522411,NaN,NaN,NaN,2.57165314878714,48.3411579707115,NaN,-107.092295928894
95,NaN,NaN,14.452409679204,NaN,NaN,NaN,NaN,NaN
100,0.00374449592799998,NaN,-19.0820055927924,9.24487324786396,2.90103175615992,189.152808086145,-25.0063695998839,1.56993476337274
150,0.00223099883527228,NaN,15.3242893171072,10.038941441205,1.96675212380763,32.4410738919206,49.9611684639442,234.574369601566
200,0.00640984044610212,NaN,-121.431555141733,NaN,-0.287127922288204,76.2019575597458,-34.7630173674691,-76.4443957442728
250,0.00694729003590573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,0.00694334621129899,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,0.00616982521568435,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,0.00656706236600684,NaN,NaN,NaN,NaN,NaN,NaN,NaN
