t,EpoRpJAK2_Obs,CISHnRNA2_Obs,Compound_2_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,0.0276614695564188,-3.13321055685263e-05,7.86540613321709,4.85550228732215,11.8357473405249,1.44146256233884
10,NaN,NaN,4.93353531586034,NaN,NaN,NaN
15,NaN,0.00178042415194676,NaN,32.4301698626146,36.8719096334925,19.5058204718334
20,0.267316345189314,NaN,NaN,NaN,NaN,NaN
25,NaN,0.00122511168843728,6.84359599444428,NaN,NaN,NaN
30,NaN,NaN,NaN,26.4906666606991,29.0139445927668,16.5230937131881
35,NaN,NaN,5.03246283767416,NaN,NaN,NaN
40,NaN,0.00115065042424163,NaN,NaN,NaN,NaN
45,0.283198595476543,NaN,NaN,NaN,NaN,17.5991393056985
50,NaN,NaN,3.42158867681054,24.4898579674549,28.9750437648816,NaN
60,NaN,0.0011160408799668,NaN,NaN,NaN,19.4318617133995
65,0.356862493447472,NaN,2.97840634195071,23.6121531961576,26.6808294157552,NaN
75,NaN,0.00108780852950032,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,16.9315749031652
85,NaN,NaN,3.38487678775837,24.874324456225,NaN,NaN
90,0.330716541934194,NaN,NaN,NaN,29.6277846885071,NaN
100,0.354198498630035,0.00100646011734514,3.486179334878,23.3758466964164,26.8226579177255,16.7336710043726
150,0.409772474568591,0.000930712811924905,3.16735359092,24.1574703699058,24.9703592444992,14.8022825197564
200,0.425983563694207,NaN,NaN,20.3714889909146,23.6181141188212,14.6949102356224
250,0.381857922448398,NaN,NaN,19.7343299382727,25.0567968375605,16.2997338749917
300,0.364230103130957,NaN,NaN,21.5457334271871,NaN,16.2254306808
350,0.390581205998163,NaN,NaN,19.6723027471263,NaN,NaN
