t,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_8_Obs
0,0.000208131953604183,0.280724743399623,6.00480620713365,0.173922060472408,0.253518919511722
7,NaN,NaN,NaN,0.172230762241632,NaN
7.5,NaN,NaN,7.38033496459748,NaN,NaN
10,0.000378165539334047,0.283565467864411,NaN,NaN,1.71839853484742
15,NaN,NaN,9.0280561516727,0.115015171692724,NaN
20,NaN,0.296838404710442,NaN,0.114437716275685,NaN
25,0.000182067911106874,NaN,8.22632486594582,NaN,3.63705903210756
30,NaN,NaN,NaN,0.0651202829894788,NaN
35,0.000215980505217088,0.271341174676532,7.91781922767209,NaN,NaN
40,NaN,NaN,NaN,0.0686504762475447,2.38367317373843
45,NaN,NaN,5.77675690811204,NaN,NaN
50,0.000146262473517069,0.264756724965485,NaN,0.0823485954412814,1.92819821399083
55,NaN,NaN,7.86036183606667,NaN,NaN
60,NaN,NaN,NaN,0.0745898787165608,NaN
65,0.000177751049431561,0.221359197272595,NaN,NaN,NaN
70,NaN,NaN,5.93926371937504,NaN,1.48693261491165
75,NaN,NaN,NaN,0.0696385277024574,NaN
80,0.000172624114358711,NaN,NaN,NaN,NaN
85,NaN,0.260744347676411,NaN,NaN,NaN
90,NaN,NaN,6.82329770931211,NaN,1.55644293175019
95,0.000214558791017042,NaN,NaN,0.0370816390559391,NaN
100,0.000211678513632833,NaN,NaN,NaN,1.39440270099397
150,0.000148694081090505,NaN,NaN,NaN,1.16725718080383
200,0.000164589406923087,NaN,NaN,NaN,0.65985140551911
