t,bio_Obs,bcar_Obs
0,0,5.30728180103803
20,1.01289747982102,3.54688067506174
40,3.50469786382095,NaN
45,NaN,3.58886456977919
60,2.68301025974908,NaN
70,NaN,2.21505098175073
80,3.40015705900811,NaN
95,NaN,0.738043588213055
100,3.34490071058836,1.08839304797901
150,4.14727462807973,0.490336629506705
200,11.8633694548415,0.20756703458193
250,9.17216839450406,0.0482465399346658
300,4.62953518730661,0.0460685159620452
350,8.60176193725999,0.03143435058412
400,NaN,0.0167468736517313
450,12.5966938852739,NaN
