t,Rec_Obs,p_IL13_Rec_Obs,pJAK2_Obs,STAT5_Obs,DecoyR_Obs,SOCS3_Obs
0,1.34779793910195,0.000172875705410057,0,151.73697043029,0.40762753351994,0.0465815996649878
8,NaN,NaN,NaN,NaN,0.547958644073392,NaN
10,NaN,NaN,NaN,351.1490886325,NaN,NaN
15,0.648757443342236,0.0252565201773043,0.524549539827392,NaN,0.152674583973857,0.580736613621554
20,NaN,NaN,NaN,107.890637193037,NaN,NaN
25,NaN,0.0534952033063677,2.37410851390832,NaN,0.0738068912047656,NaN
30,1.82920870678122,NaN,NaN,NaN,NaN,3.49383901953269
35,NaN,NaN,NaN,66.5912182019868,0.0561849156745029,NaN
40,NaN,0.025042616125617,1.7046296579402,NaN,NaN,NaN
45,2.16217093631334,NaN,NaN,19.0048631803225,0.0494760695987676,6.28917507892921
55,NaN,0.0551400224046247,0.820569578641526,NaN,NaN,NaN
60,0.824031904094059,NaN,NaN,102.865187859253,0.0222101726206831,26.4641159165513
70,NaN,NaN,3.14247883212221,NaN,NaN,NaN
75,0.326330543660868,0.0384806103715804,NaN,67.1270997802883,0.00907585962132363,NaN
80,NaN,NaN,NaN,NaN,NaN,65.4203699608442
90,NaN,NaN,0.745218802023491,38.9655667954783,NaN,NaN
95,1.96672410631602,0.0127167377389171,NaN,NaN,NaN,NaN
100,0.78406625976918,0.0265056813839647,0.871919276887056,36.9952039997987,NaN,72.8993459384105
150,0.724450129169927,0.0162423107128645,1.40085151300212,308.07474793949,NaN,84.6184176085455
200,1.93650105197893,0.0272645236914568,0.505234743324006,107.335978541964,NaN,74.039910348516
250,2.49459042032985,NaN,0.322382782594451,98.5103472825448,NaN,263.983657431038
300,NaN,NaN,0.925999879342178,58.7343173458466,NaN,194.679908331441
