t,Rec_Obs,Rec_i_Obs,IL13_Rec_Obs,pJAK2_Obs,IL13_DecoyR_Obs
0,2.27117914661592,111.51433209806,0,0,0.00277456801599507
4.5,NaN,NaN,NaN,NaN,0.14751176667689
9,NaN,NaN,NaN,NaN,0.457768545533131
15,1.62787763378394,193.274066468383,2.1951507313245e-05,2.10517417404163,0.248501173235998
20,NaN,NaN,NaN,NaN,0.196835128029156
25,NaN,NaN,NaN,2.89309813697831,0.156111305969144
30,0.726236953529733,NaN,3.10939393991056e-05,NaN,NaN
35,NaN,246.73835511315,NaN,NaN,0.311832940832014
40,NaN,NaN,NaN,1.8399874255942,NaN
45,0.557589822862597,NaN,NaN,NaN,NaN
50,NaN,NaN,1.95354920848592e-05,NaN,NaN
55,NaN,72.6687558291746,NaN,1.04425505881814,NaN
65,0.565032384957478,NaN,9.44459804921365e-06,NaN,NaN
70,NaN,NaN,NaN,10.6556307007696,NaN
75,NaN,125.898580819015,NaN,NaN,NaN
85,0.821016664112469,NaN,3.33146248965936e-05,NaN,NaN
90,NaN,NaN,NaN,9.88816613090653,NaN
100,0.680234821837906,57.7249832853312,2.55983163601875e-05,1.25199041982014,NaN
150,0.655806492300139,144.061227352049,2.0741155222689e-05,0.594766877286125,NaN
200,0.443896967292019,99.781406639289,1.04840939518442e-05,1.15288634457481,NaN
250,0.614747380952339,110.680628708362,3.19595461618481e-05,2.07320513373843,NaN
300,0.512709137351982,131.360756805336,7.60488370316601e-05,1.40738524054245,NaN
