t,Rec_Obs,Rec_i_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,pJAK2_Obs,STAT5_Obs,DecoyR_Obs,IL13_DecoyR_Obs,SOCS3_Obs
0,1.0658705296763,159.477524359812,0,7.81196054993379e-18,0,132.491737484654,0.519161772759795,6.75357710684163e-18,3.02639215773786e-17
3.5,0.99098396234045,73.1471740090875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,0,162.623360678045,NaN,NaN,1.14623110643721e-17
6,NaN,NaN,NaN,1.41862207673945e-17,NaN,NaN,0.584571476305663,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.88834177077477e-18,NaN
7,1.04470194796717,78.8024021419226,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1.5489334981046,48.026860999684,0,NaN,0,92.0380899961205,NaN,NaN,7.52355825022863e-18
15,0.51930645746523,74.2818745291288,0,2.69166356337593e-18,0,NaN,0.483593973012513,3.02777468585395e-18,NaN
20,1.59160071451673,59.2593527851898,0,1.17010541212151e-17,NaN,76.0126258370958,0.226329841499135,1.3984164995666e-17,4.31146520228773e-18
25,2.03851387899974,131.360555684702,NaN,NaN,0,132.664853525939,NaN,NaN,4.37572507554021e-18
30,2.79531618088585,84.141020094509,0,7.16045313583392e-18,0,NaN,0.202016355943868,6.98668133060575e-18,NaN
35,1.25909085418721,138.467144667324,NaN,NaN,NaN,148.426182705828,NaN,NaN,5.53485465766012e-18
40,NaN,NaN,0,7.31657526787253e-18,0,202.287082894589,0.250853165225606,1.14545544775029e-17,NaN
45,2.5696731715814,110.07752796392,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0.823486668170617,78.7787649542897,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,0.914548081150404,77.5822160837646,NaN,NaN,NaN,NaN,NaN,NaN,NaN
