t,Rec_Obs,p_IL13_Rec_Obs,pJAK2_Obs,STAT5_Obs,DecoyR_Obs,SOCS3_Obs
0,1.50054357917311,0.00103212275386457,0,111.093539278901,0.322060217243087,0.0578283273087221
4,NaN,NaN,NaN,NaN,0.00708790168378679,NaN
8.5,NaN,NaN,NaN,NaN,0.000139842409948458,NaN
10,0.462129089897267,NaN,2.22763461410701,82.8976397971846,NaN,NaN
15,NaN,0.14810257660735,NaN,NaN,6.59649574143646e-05,1.8159715506085
20,1.20097620108179,NaN,1.44363876670959,107.881852509202,4.55453094558308e-05,NaN
25,NaN,0.321748346575328,NaN,NaN,0.00015538928353167,NaN
30,NaN,NaN,3.84478084716089,44.9493028516902,5.76490256635695e-05,27.903453987437
35,0.360532108031062,NaN,NaN,NaN,NaN,NaN
40,NaN,0.210944804409231,7.64907033757916,NaN,0.000303546550159808,NaN
45,0.51966293353119,NaN,NaN,45.780680613554,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,43.4133754713353
55,NaN,0.148035904759635,1.64303341837285,108.037251317584,NaN,NaN
60,0.114783750782352,NaN,NaN,NaN,NaN,NaN
70,NaN,0.321571932535254,6.66850977512551,52.2008991877225,NaN,116.236483596389
75,0.673662091102113,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,1.65489237761732,67.85036237983,NaN,NaN
90,NaN,0.274230926329262,NaN,NaN,NaN,187.858544010871
95,0.523236046663649,NaN,NaN,NaN,NaN,NaN
100,1.44685420022099,0.14453630401384,2.10782088566269,69.1443925017365,NaN,237.785304405429
150,0.220948662925552,0.188812437345782,1.39941308747391,60.02647264588,NaN,298.253031600215
200,NaN,0.257922217154845,1.31135120432088,28.0408469791695,NaN,137.140765596871
250,NaN,0.133021679980554,NaN,85.2779535861904,NaN,NaN
300,NaN,NaN,NaN,24.647663508633,NaN,NaN
