t,IL13_Rec_Obs,JAK2_Obs,pJAK2_Obs,STAT5_Obs,pSTAT5_Obs,DecoyR_Obs,SOCS3_Obs,CD274mRNA_Obs
0,-8.00431289205319e-06,2.75136811792586,-0.108439632936926,162.779443126637,6.11847477833002,0.335764569665768,0.256763271465426,-13.2219581232813
3,NaN,NaN,NaN,NaN,NaN,0.122533380603509,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.0314304123231697,NaN,NaN
8,8.14016428417725e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.314395170051342,2.54219087050701,112.889688624837,40.8164237205611,0.00751317294009772,-6.52904108911343,NaN
15,6.74184772685648e-05,NaN,NaN,NaN,NaN,0.00362192168771386,NaN,34.2702690781691
20,NaN,0.101840463456148,NaN,NaN,NaN,0.00260716800044584,NaN,NaN
25,6.34057584017254e-05,NaN,2.9589663455909,70.2188121834702,98.7827767736131,-0.00132545832523537,18.0480818652504,NaN
30,NaN,NaN,NaN,NaN,NaN,-0.00538648296358664,NaN,49.4150920029306
35,6.7195622036275e-05,0.213368104380629,2.5422633544536,NaN,101.962183886117,NaN,37.5395195856044,NaN
40,NaN,NaN,NaN,55.2030286990068,NaN,NaN,NaN,NaN
45,6.85046602455321e-05,0.254484693005839,NaN,NaN,NaN,NaN,NaN,83.983112783945
50,NaN,NaN,2.37883385758452,NaN,98.8637884747477,NaN,85.9101825886584,NaN
55,NaN,NaN,NaN,51.926655794342,NaN,NaN,NaN,NaN
60,8.0612693567597e-05,0.453964491654496,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,2.47771387298097,NaN,117.472854060498,NaN,132.467049121037,136.936611076777
70,NaN,NaN,NaN,58.0984136557988,NaN,NaN,NaN,NaN
75,7.20705381600142e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,0.509634836059364,2.36923954773978,NaN,99.7451243880217,NaN,171.484777353297,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,217.215230552608
90,8.01121337744458e-05,NaN,NaN,57.5127612943811,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,109.441735159107,NaN,NaN,NaN
100,NaN,0.656648841766179,1.98723286038457,60.7820615945695,104.245821772214,NaN,190.215217026828,243.248330758136
150,NaN,0.806063834196442,2.05464220672789,61.0665915833268,107.090804896458,NaN,222.078458567733,407.428729648368
200,NaN,0.92020159386126,1.92683953169049,67.6113201674468,98.456063695705,NaN,258.172719033504,505.232812770925
250,NaN,NaN,NaN,58.7948062722245,104.845638801697,NaN,270.901479138578,640.834799624256
300,NaN,NaN,NaN,67.1920150260855,93.7002313966755,NaN,288.561385090799,754.090299300917
