t,p_IL13_Rec_Obs,JAK2_Obs,pJAK2_Obs,STAT5_Obs,pSTAT5_Obs,DecoyR_Obs,SOCS3_Obs
0,0.00280553984799798,2.89578760079421,-0.00825621761251703,165.673170819918,-13.7096147323193,0.348679107426546,9.17179559333145
6,NaN,NaN,NaN,NaN,NaN,0.221017395786001,NaN
10,NaN,NaN,NaN,151.753893754413,20.5772035315226,0.160520279798015,-0.731696799007055
15,0.0714390773215789,1.17184855245489,1.59996580785889,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,0.0749796650259896,NaN
25,NaN,0.821938752811924,2.03768801145103,89.5947572836519,78.9949580142737,0.0757514063711559,5.28864593147715
35,0.075348419561758,NaN,NaN,85.6466681875073,76.1388298428726,0.0261455425374395,NaN
40,NaN,0.834781971499847,2.00344464472003,NaN,NaN,NaN,43.82436413939
45,NaN,NaN,NaN,NaN,NaN,0.019571957945826,NaN
50,0.0745533240224053,NaN,NaN,67.7463479341303,101.204249324036,NaN,NaN
55,NaN,0.934067471961456,1.92805842137622,NaN,NaN,0.013016302888995,91.1551423205968
60,NaN,NaN,NaN,57.8152461683997,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,94.4170365085195,NaN,NaN
70,0.0739700374204402,1.03016363745178,NaN,NaN,NaN,NaN,114.202541268511
75,NaN,NaN,1.84289436462323,54.000333416194,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,100.823777943651,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,161.286521099745
90,0.0734169025038097,1.22364980764633,1.67465302922821,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,65.4383227505991,NaN,NaN,NaN
100,0.0693099541797774,1.29317084988347,1.65800027886506,73.0714535352077,97.3650397900327,NaN,175.162979249534
150,0.0686068502559384,1.58636867491935,1.32696712720243,75.1961211366471,88.6531910311147,NaN,228.174261135907
200,0.0740723070187581,1.62698542055272,1.07370883004445,72.1748724952237,84.9961843411915,NaN,244.228131690769
250,0.0753669802510662,1.62126651694093,0.985407771513189,80.2511116671375,68.418498682705,NaN,264.706592911652
300,0.0754504523389757,1.84220076065294,1.0601602751775,78.0486711065272,73.2418547886582,NaN,259.676839788251
