t,IL13_Rec_Obs,p_IL13_Rec_Obs,JAK2_Obs,STAT5_Obs,SOCS3_Obs
0,-6.57081894359064e-06,-0.0318725336493467,2.80972609305254,170.439957217646,5.65902262585652
9,0.000132024957452126,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.0492940534070171,NaN,NaN
10,NaN,NaN,NaN,107.102480098796,NaN
15,NaN,0.488608046307336,NaN,NaN,-3.51343814631856
20,0.000126180858460335,NaN,0.0150947702154456,NaN,NaN
25,NaN,NaN,NaN,52.0336434872975,35.3947876749195
30,0.000127880138991998,0.544097992158115,0.122903451714519,NaN,NaN
40,0.000121317066906583,NaN,0.134560472554115,60.5089533562596,62.9494583248613
45,NaN,0.457088528679987,NaN,NaN,NaN
50,0.000128142594985397,NaN,0.289463564627609,NaN,NaN
55,NaN,NaN,NaN,64.4758947613543,123.629441229355
60,NaN,0.482626118829007,NaN,NaN,NaN
65,0.000127822168286706,NaN,0.297278328396546,NaN,NaN
70,NaN,NaN,NaN,49.4605266501973,132.722310389763
75,NaN,0.457657518686261,NaN,NaN,NaN
80,NaN,NaN,0.330196187495894,NaN,NaN
85,0.000127965103529673,NaN,NaN,57.8440501216472,NaN
90,NaN,NaN,NaN,NaN,193.909630932507
100,0.000137903480259451,0.517446658871512,0.469451853188969,54.1987398612031,204.611579416257
150,NaN,0.407264281603981,0.532192070461826,56.3956036674946,234.8744800039
200,NaN,0.399930624115179,0.67163592743447,57.9900956285862,250.707174211967
250,NaN,0.390919772425463,NaN,69.7799359890477,269.57644334435
300,NaN,0.373742222981527,NaN,64.1808614151106,260.788456664562
