t,IL13_Rec_Obs,p_IL13_Rec_Obs,SOCS3_Obs,CD274mRNA_Obs,Rec_Obs,Rec_i_Obs
0,-0.0106380752630939,0.0184364733214697,0.0454293749445984,0.0504520824147593,1.31326681443329,224.601373300574
4,NaN,NaN,0.0304642162064868,NaN,1.02643426019306,NaN
4.5,NaN,NaN,NaN,-0.0420605662973043,NaN,NaN
5,0.00313949077116874,0.0426157402717976,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,191.534802450027
8,NaN,NaN,-0.0454600976888189,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.981150403254747,NaN
9,NaN,NaN,NaN,0.00837609520096325,NaN,NaN
10,0.00461671993880106,0.0831692650209416,NaN,NaN,NaN,NaN
15,-0.00111061359260791,-0.00683193787178395,-0.0127739643367332,-0.0362792251857485,0.915181769407613,231.980962740316
20,NaN,NaN,NaN,-0.0202068850901198,0.99954572849898,235.99204058003
25,0.0165878559572355,0.107030095295216,-0.00437565475917678,0.0664669897186973,0.908093586882423,NaN
30,0.035851606160274,-0.0290577859402677,0.0646813461140434,NaN,0.806339631095146,226.581554257807
35,NaN,NaN,0.125747652978113,-0.12603087591596,NaN,NaN
40,0.047270182606363,0.00125718668447377,NaN,0.0126935045591414,0.865071661504106,221.760070128184
45,NaN,NaN,0.0347777437546147,NaN,NaN,NaN
50,0.0476246545203673,-0.0695253620058966,NaN,-0.0140521253279989,0.990743904757564,244.510418348869
55,NaN,NaN,-0.0693935824771915,NaN,NaN,NaN
60,-0.0908701553067957,NaN,NaN,NaN,0.93728835695348,NaN
65,NaN,0.0341720353768507,NaN,0.0333247461344596,NaN,223.668127047635
85,NaN,NaN,NaN,NaN,NaN,219.168343500644
