t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,2.90259858121732,137.468589171526,148.802237627804,1.87179040730023,1.44099634159049
40,NaN,NaN,NaN,10.8002430448417,NaN
45,NaN,NaN,100.894389384476,NaN,NaN
50,NaN,NaN,NaN,NaN,22.8761797797317
55,47.0082885085164,96.7365110802372,NaN,NaN,NaN
85,NaN,NaN,NaN,8.31114327143111,NaN
90,NaN,NaN,100.49641422294,NaN,NaN
100,34.8553285598826,83.2562895829477,NaN,NaN,17.2509024657311
150,25.4750840895075,133.589596777105,132.538561517904,5.65266319871387,12.4538027068453
200,NaN,NaN,138.791575525548,4.66496050778497,9.82184201215635
250,13.569769848917,140.733277817844,119.445728772221,3.47028260890729,NaN
300,10.7305384047422,132.868271815825,144.140738016192,3.52494421458654,6.28554207221157
350,NaN,134.696188449891,NaN,2.89072428560403,4.63209520287894
400,6.35709996939965,NaN,142.954127544534,NaN,NaN
450,NaN,146.399886684435,138.172787322988,3.09218713612981,3.92730896783673
500,5.11616080988124,NaN,NaN,2.37853234758328,3.2440425691704
550,NaN,143.801667816103,140.853466202569,NaN,NaN
600,4.36841134423347,NaN,NaN,2.08104362124617,2.57515661572066
700,NaN,139.695323333583,146.081122283974,NaN,NaN
750,1.81383069278021,NaN,NaN,2.05810964571715,2.83641891576624
850,NaN,140.600469810763,139.767712003661,2.41388464155808,NaN
900,2.37006888160171,NaN,NaN,NaN,1.54296967583332
1000,2.61613251925579,144.866772261659,NaN,NaN,1.60325295452322
