t,EpoRpJAK2_Obs,EpoRJAK2_CIS_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs
0,0.0111635152450948,1.00624322656281,0.0102594076397414,155.023517566676,0.484630606373354,1.95083737083047,7.52438861236306,6.09722857113157,340.32281849084,1.36458864808638e-06,-7.97740986247323e-06
3,NaN,0.404780576418141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,0.0015475892136743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,0.753746080324462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.000737792992642638,NaN,NaN,NaN,NaN,NaN,11.5478615305416,NaN,NaN,NaN
15,NaN,-0.0108939133130144,0.201872796534683,118.395114640377,32.896967945288,30.4973349896647,24.5602361403479,NaN,323.614489939854,0.000152472177524205,0.000152092698347894
20,0.415232796693918,0.00505280058618305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,-0.0034446673926578,0.247047371702864,113.094599194643,38.0682155767232,NaN,65.3177383946015,21.997820383299,NaN,NaN,NaN
30,0.298744979539138,-0.00687081773665826,NaN,NaN,NaN,191.165412752688,NaN,NaN,325.563691171697,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000322114663298769,0.000314330563549328
40,0.279227844292259,NaN,0.276980849591365,112.511624993234,40.3257191887085,NaN,222.042627769928,130.139261131477,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,364.372196718677,NaN,NaN,341.170484506433,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235.427847327775,NaN,NaN,0.000350670768503526
55,0.26929063290122,NaN,0.331499049958101,109.298792802909,37.7268687996386,NaN,364.486081945683,NaN,NaN,0.000326322604937815,NaN
60,NaN,NaN,NaN,NaN,NaN,488.255034441643,NaN,NaN,NaN,NaN,NaN
65,0.257535967579483,NaN,NaN,NaN,NaN,NaN,NaN,369.496854409131,330.048819937586,NaN,NaN
70,NaN,NaN,NaN,107.871651027396,36.5740802689322,NaN,488.817717590815,NaN,NaN,NaN,NaN
75,NaN,NaN,0.341667792503667,NaN,NaN,NaN,NaN,NaN,NaN,0.000332418058700861,0.000342280805631501
80,NaN,NaN,NaN,NaN,NaN,544.011019301287,NaN,NaN,324.831052195092,NaN,NaN
85,0.256696651870336,NaN,NaN,NaN,NaN,NaN,NaN,482.070512949757,NaN,NaN,NaN
90,NaN,NaN,NaN,115.011635106565,34.617269046247,NaN,522.763256230994,NaN,NaN,NaN,NaN
95,NaN,NaN,0.358251063600902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000312432861001182
100,0.260872447249365,NaN,0.355969466408595,117.877699245902,33.0575454823142,493.206722010417,514.408761292382,517.236884006888,328.507653941641,0.000315817938203058,0.000313808790081479
150,0.258822697176953,NaN,0.359110514921781,115.267173917448,27.1722166043677,461.930209022638,465.172979476702,480.609470459286,337.068413061587,0.000276882741355742,0.000274687504797767
200,NaN,NaN,0.35702168655529,119.625973675756,27.1859966455464,419.411499662908,421.642947541146,430.566590440708,360.039566095818,0.000251500156389525,0.00026346890721372
250,NaN,NaN,NaN,120.018105701568,27.8356119912558,408.187657286962,401.647866507595,398.024375793396,358.377512437486,0.000236254440706056,0.000231911588781477
300,NaN,NaN,NaN,119.245323395735,27.3125003134915,379.975952643455,385.136390441539,394.397151419213,335.857855323308,0.000236309684020748,0.000227979521907041
