t,epo_level,CISnRNA3_Obs,SOCS3nRNA1_Obs
170,2.5e-09,92.2442303906826,6.73336082183794e-05
170,2.5e-09,183.025318328332,5.46478511793443e-05
170,2.5e-09,240.860235706094,1.70742095192334e-06
170,2.5e-08,212.190425158426,0.000103980711772923
170,2.5e-08,357.346231400831,8.26894377743695e-05
170,2.5e-08,401.198120745585,0.00013622454317612
170,1.25e-07,318.470878500024,0.000310963115622644
170,1.25e-07,448.282440713211,0.000244210509676105
170,1.25e-07,559.229189528104,0.000263693695729995
170,2.5e-07,458.719530524015,0.000303052739145918
170,2.5e-07,488.27759943351,0.000321997820196666
170,2.5e-07,634.004709267152,0.000357779813141353
170,2.5e-06,804.798251194108,0.000577020134379295
170,2.5e-06,852.392047383349,0.000510158003024531
170,2.5e-06,964.308977718279,0.000549787016823677
