t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs
0,6.42920569962115,-0.00534066826587722,33.7668845976774,153.319224493615,-0.394857769179098,0.427404451237749,-15.9041304210267,-16.0679000253262,0.000198887459634815,-1.71926506328118e-05,6.28572324161846e-06
5.5,NaN,NaN,NaN,0.0316874367101314,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,4.46613279796742,0.303623031269714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,139.945553355824,NaN,NaN,2.48310778369331,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,24.5789894324993,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,14.1353267260077,NaN,NaN,0.000677454810537206,NaN,NaN
10,4.91199488755581,NaN,36.9766613965345,2.51272762871204,NaN,NaN,NaN,NaN,NaN,0.000651160839383494,0.0005699913362479
15,NaN,0.312941764217803,NaN,NaN,122.707586011026,75.8776380957545,1.95133604337659,5.94420866859887,0.00143972325334778,NaN,NaN
20,5.39081198721825,0.298402589279074,NaN,23.9890805742798,110.212504188448,NaN,NaN,3.8757477060344,NaN,NaN,NaN
25,5.67926287988117,0.288473015983746,34.0891771204224,30.4961678105465,NaN,370.315220885237,141.846221192968,NaN,0.00431832411347381,0.000962704235095648,0.000930758971916246
30,NaN,NaN,NaN,40.4248394712881,93.938723322775,NaN,NaN,107.492132715322,NaN,NaN,NaN
35,5.91188350597285,0.290787055277282,35.5710704447653,NaN,86.1357828051846,752.206161954017,438.22374419429,215.689130577582,0.0190585229672213,0.000862867310293922,0.000858011843363455
40,5.49908371092013,NaN,NaN,62.5973823808642,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,0.267760843889207,NaN,NaN,68.3466493291093,1063.01387292739,789.296096967088,493.862112012825,0.0445984834789012,NaN,NaN
50,5.85188118829809,NaN,34.8354561306679,73.2907412666764,NaN,NaN,NaN,NaN,NaN,0.000690604253537832,0.000707852602367035
55,NaN,0.260794666123051,NaN,NaN,58.5873251106339,1203.48604287061,1024.98741946759,792.286863838262,NaN,NaN,NaN
60,NaN,NaN,NaN,84.129599781519,NaN,NaN,NaN,NaN,0.0753003083634349,NaN,NaN
65,6.12910678539864,NaN,35.6625576413932,NaN,55.5428762034051,NaN,1138.47838707239,976.589835392926,NaN,0.00054601369100675,0.000567671295255376
70,NaN,0.25481258001468,NaN,NaN,NaN,1120.58726069728,NaN,NaN,0.0922559671844969,NaN,NaN
75,5.99149078129114,NaN,NaN,95.1154475691841,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,37.0047872246786,NaN,44.3620897426903,NaN,1096.05479294097,1085.40874972395,NaN,NaN,NaN
85,NaN,0.262177465490618,NaN,NaN,NaN,992.384815317195,NaN,NaN,0.0934787582552111,0.00043304350059104,0.000433199753182973
90,NaN,NaN,NaN,109.722370007546,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,5.87102814704164,NaN,NaN,NaN,37.2166749192682,NaN,976.990589039867,1037.68522572546,NaN,NaN,NaN
100,6.18726742418885,0.245894691058552,33.634626149135,109.730667553223,39.4821920896087,818.893469208998,914.733808890988,1003.44503337191,0.0868335104229993,0.000358749063150844,0.000352683761613426
150,NaN,NaN,34.3566525196678,124.020170047695,27.9452521870405,476.990481837832,544.707269811363,612.026865780386,0.0521157194568609,0.000260169908092758,0.000280332169954589
200,NaN,NaN,35.4782754018564,NaN,NaN,401.363898870114,426.804173557824,NaN,0.0360241498836378,0.000228264917213395,0.000221172411958091
