t,epo_level,pSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs
7,2.5e-09,-25.4426650236076,1.95509795564358,0.0261834203763682
7,7.905e-09,10.5344861968811,0.581870366189929,0.03023489261531
7,7.905e-09,23.6050627836036,1.72685581270636,0.00615697458642366
7,7.905e-09,34.1512971572875,3.05804110471558,0.0153363672872407
7,1.25e-08,38.4345516727808,-0.854357818480534,-0.016304160442965
7,1.25e-08,55.5846010486384,3.6347632710887,-0.00797162001121888
7,1.25e-08,60.2312869359537,1.72305584150773,0.00077601501663727
7,1.75e-08,41.0678267897511,0.159834001538082,0.0960989256588322
7,2.5e-08,48.4083018169072,3.06765921088733,0.000985188815192585
7,2.5e-08,77.6728462902688,3.04459223377914,0.119440620062751
7,2.5e-08,78.3230329418981,2.83334688131387,0.0718990348164659
7,3.95e-08,133.971462108451,8.61039132625895,0.0326698055562463
7,7.9e-08,151.300697103965,15.3090285741297,0.147671064938782
7,1.25e-07,132.838455201946,19.113790772851,0.221008073169177
7,1.25e-07,163.63185013918,14.7856936149997,0.263230858082859
7,1.25e-07,167.121619818889,22.0379591101714,0.225456848167039
7,1.7675e-07,126.533220959999,26.9499162967528,0.242923036681968
7,1.7675e-07,142.705851945068,26.0260106519046,0.257136895777393
7,1.7675e-07,156.390928000019,21.9139965159004,0.318080414650029
7,2.5e-07,139.880346488919,27.0669884483761,0.36553389751087
7,2.5e-07,140.616860449268,30.2730906652909,0.397475850979435
7,2.5e-07,160.094743207005,37.8964745898216,0.413054678556358
7,7.905e-07,134.834622298111,46.6715447965036,0.712272283373663
7,2.5e-06,123.280293615275,54.5614178180716,0.999999260367859
7,2.5e-06,124.754139020233,54.655129559489,1.01692198541236
7,2.5e-06,148.011489693125,59.007547732934,1.00327293175524
