t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs
0,6.30896465924957,0.0004368077474512,88.8542290320116,139.996481713819,6.72645956197181,-38.9714657371734,99.3704910782263,-30.2237047292319,-0.00622144387817995,-6.11372983141083e-05,-4.56285165018321e-05
6,NaN,NaN,NaN,NaN,NaN,NaN,-63.840680031085,NaN,NaN,NaN,NaN
6.5,4.03436108612672,NaN,NaN,NaN,NaN,NaN,NaN,13.5719411220956,NaN,NaN,NaN
7,NaN,0.248272565086668,NaN,17.2138497365229,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,74.6023651685206,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,129.330359083796,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,137.366595637005,NaN,NaN,NaN,5.83623831776829,NaN,0.00139968923260709,NaN,0.000506993333679669
15,6.71924364097379,0.245854843889131,NaN,34.4438966281905,97.1922480357161,170.936865085742,NaN,91.7020989291553,NaN,0.0006903805519278,NaN
20,6.09620727373566,0.195199667519279,136.13393414453,58.9038494809657,NaN,NaN,118.150143458661,38.5039260977478,0.00074278755509562,NaN,NaN
25,NaN,NaN,NaN,NaN,96.4119467742468,635.314887317297,336.990816854946,NaN,NaN,0.000855254862448352,0.000838625487393515
30,6.86219973261455,0.24474431033682,NaN,58.2677849717928,NaN,958.132183746217,NaN,214.505714566797,0.00939861019997793,NaN,NaN
35,4.36111242745958,NaN,153.326600041729,NaN,80.3422375620929,NaN,667.773229655039,317.705903622258,NaN,NaN,NaN
40,NaN,0.232573669096343,NaN,69.7812501946052,NaN,990.189531862924,745.629692088788,NaN,NaN,0.00067523994266369,0.000639843596759735
45,NaN,NaN,177.422646358304,85.3034934657805,71.8897627564729,NaN,NaN,675.322238093229,0.0426686702923322,NaN,NaN
50,6.16682319307176,0.241990253284325,NaN,NaN,NaN,1077.91967945808,885.799691279686,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,61.007685815149,NaN,NaN,877.087289917088,0.0499183217897144,NaN,0.00060258829429238
60,7.01950468130036,NaN,130.013438780391,102.753948576864,NaN,NaN,1007.65956303861,NaN,NaN,0.000455412748892704,NaN
65,NaN,0.172597839664442,NaN,NaN,NaN,808.335926271655,NaN,951.061996116684,NaN,NaN,NaN
70,NaN,NaN,NaN,89.3562229310836,35.0720865538113,NaN,NaN,NaN,0.079938744397218,NaN,0.000481439437793724
75,5.72504848746288,NaN,128.6861545135,NaN,NaN,715.158277787488,1042.09532630239,NaN,NaN,0.000463074393335097,NaN
80,NaN,0.166089399315503,NaN,NaN,NaN,NaN,NaN,1001.07359025831,NaN,NaN,NaN
85,NaN,NaN,NaN,135.733193001487,36.502239423575,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,691.889866723807,NaN,0.0722986307018906,NaN,0.000324326761581335
95,4.90811991631591,0.201730485097247,115.889673252492,NaN,NaN,632.267716975453,NaN,912.169548638982,NaN,NaN,NaN
100,NaN,0.157031421321986,153.305541074898,128.454683593959,20.1130179505383,605.472368804511,686.249657878251,829.993302998203,0.0670254844334157,0.000214704576455207,0.000287684321090655
150,NaN,NaN,151.05109145823,104.956411779563,24.9811567504016,386.78335191294,313.68053052981,439.947827402321,0.0489701269991915,0.000188327727630504,9.57287052027183e-05
200,NaN,NaN,158.532370169886,NaN,25.6930471398201,286.910722831449,NaN,NaN,0.0294206319823035,0.000157268246401099,8.68606247678101e-05
