t,EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,p2EpoRpJAK2_Obs
0,0.00138833037274023,0.00456433381059277,152.251346303329,-0.136113202446056,-6.69284035115363,-1.05281646973819,-5.04404649569584,-0.259093952811139,-2.54904758421065e-05,1.22623395725881e-05,-0.00576450420140289
7,NaN,NaN,NaN,NaN,NaN,3.61487766832985,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,12.4454360324136,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.472153317320448
9,NaN,NaN,0.0485095553494141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,0.296818915679896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,134.385809566354,NaN,NaN,24.0764197342012,-0.333801592210329,NaN,NaN,NaN
15,NaN,0.174304558261215,NaN,NaN,298.08975347305,70.8253894279786,NaN,NaN,0.000855914558242625,0.000820409965169456,0.354383048163655
20,0.299998446589571,NaN,22.1551728035954,NaN,NaN,220.859333549681,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,33.8786509432674,102.147760885938,762.843258766915,NaN,149.662016794498,-0.0956714206579039,NaN,NaN,0.278810715384593
30,0.275770381268195,0.265610877923367,NaN,NaN,983.806937880103,629.122811470523,NaN,NaN,NaN,0.000909527725879991,NaN
35,NaN,NaN,48.0760305945084,87.7751106812214,NaN,NaN,473.210161557508,NaN,0.000859689438024232,NaN,0.22525832364358
40,0.274889713265396,NaN,NaN,NaN,1223.07477739397,943.413836891087,NaN,0.574100649687726,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,780.049699448961,NaN,NaN,NaN,NaN
50,NaN,0.294369266987769,74.4924647031556,66.7677601924192,1248.15769477082,1137.79733794548,NaN,NaN,0.000700897620838134,0.000717438181640554,0.194220388867445
55,0.265882427313528,NaN,NaN,NaN,NaN,NaN,NaN,2.2851947318587,NaN,NaN,NaN
60,NaN,NaN,81.5104271554987,NaN,NaN,1150.75460610435,1094.42428403227,NaN,NaN,NaN,0.182048953877716
65,NaN,0.31405917991929,NaN,54.8683820803307,1146.80953159326,NaN,NaN,NaN,NaN,0.000548386954930927,NaN
70,0.258807186572369,NaN,NaN,NaN,NaN,1146.41624320625,NaN,4.82100505742752,0.0005396449065848,NaN,NaN
75,NaN,NaN,97.3101056923933,NaN,1007.42284280686,NaN,1097.91949785821,NaN,NaN,NaN,0.165678188126912
80,NaN,NaN,NaN,43.7831089625382,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,0.248510993349213,0.317849527729985,NaN,NaN,NaN,1026.13614096411,NaN,7.42725386772072,NaN,0.000441665979128117,NaN
90,NaN,NaN,109.877741760198,NaN,NaN,NaN,NaN,NaN,0.000405812835162023,NaN,NaN
95,NaN,NaN,NaN,38.6311497462152,731.412317546291,NaN,984.031143937887,NaN,NaN,NaN,0.159303448449338
100,0.247586027012954,0.329819804174083,113.703284299108,37.9456174419823,718.490567160602,809.392935407476,927.231836647574,10.1004289487393,0.00038298475761797,0.000355159579937884,0.152574887979716
150,0.246246234930793,0.347172824545017,122.526401702646,27.2313078633565,463.669845257968,498.524285979362,539.920004859038,15.3636078595151,0.000269970043732054,0.000260375286133524,0.159830937951089
200,NaN,0.327212037417511,121.675046336587,26.711551749751,384.164219028115,NaN,397.195873890288,16.8022059657942,0.000244985732475636,0.000214825538681643,NaN
250,NaN,0.35345978206022,NaN,27.2744762213418,NaN,NaN,369.680760368434,16.7807157715839,0.000247892518156298,0.000216625199294372,NaN
300,NaN,0.33322907592422,NaN,NaN,NaN,NaN,337.63367406912,17.0622077756459,NaN,NaN,NaN
