t,EpoRpJAK2_Obs,STAT5_Obs,SOCS3nRNA2_Obs
0,-0.202886852104573,156.587364587672,5.26510534464793e-05
6,1.04825366146355,2.79653953988032,NaN
10,1.59221773033539,-0.638490651493765,NaN
15,NaN,NaN,0.000968448545634269
20,1.35469186621814,32.943178129621,NaN
25,1.36629497688894,38.3331214574922,0.000830596953789297
30,1.37790854602852,NaN,NaN
35,NaN,56.4101939312585,NaN
40,1.23110136612625,59.8930392305026,0.000668300686040079
50,1.15441179066075,50.3422609342705,NaN
55,NaN,NaN,0.000753841095224634
60,1.00088181487095,NaN,NaN
65,NaN,77.2086019183803,NaN
75,1.20202510339755,68.9088957973556,0.000612890175659639
85,0.97492839902091,NaN,NaN
90,NaN,77.342893804407,NaN
95,NaN,NaN,0.000671207600207526
100,1.1709286412356,85.6404654194972,0.000524370622595735
150,NaN,73.8305524883413,0.000462850125876333
200,NaN,NaN,0.000371570850396332
