t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3_Obs,SOCS3nRNA5_Obs
0,6.42599632925726,-0.00598836313650561,-0.000863648896666771,36.4599329639388,0.027811224682076,154.354163865962,1.1003664897587,0.454572393171603,0.934898022871851,-1.63315301779466,20.1701689768678,-30.1999745882758,-5.41741656933148e-05,0.141973327562677,5.90970995543593e-06,-1.95678919662238e-05,-0.266953769576451,1.30423553417443e-06
15,5.23353757818307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.261297610077103,36.2200695836269,NaN,NaN,NaN,29.8154802504342,543.853852556213,218.8340837918,61.7063668723365,29.2356152118635,NaN,-0.14562510900973,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,34.9557312445983,101.200788517515,NaN,NaN,NaN,NaN,NaN,0.00690294784616284,NaN,NaN,NaN,NaN,NaN
30,5.54208381239701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,0.286021552122155,NaN,NaN,0.278228249892691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23321406999678,NaN
40,NaN,NaN,0.127986211580263,34.4749009734192,NaN,NaN,NaN,NaN,NaN,927.686663826797,647.886161855335,344.352465585598,NaN,0.988680780994275,0.000804335797670308,0.000827130033981122,NaN,0.000834945600665036
45,5.62068046480745,NaN,NaN,NaN,NaN,68.1428613853736,NaN,22.8969845064584,1274.98445192023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0566079062769699,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,62.6118446965532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
