t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,p2EpoRpJAK2_Obs,p1EpoRpJAK2_Obs
0,7.30094479602036,0.0514159397810113,0.0175858038141204,31.5118404667351,-0.0103012210596727,144.048435193726,5.92579517584808,0.271099169870487,-0.00311404826434561,-0.0116257377879954
9,NaN,NaN,0.944977211670895,NaN,NaN,NaN,NaN,NaN,0.420517652678535,NaN
9.5,NaN,NaN,NaN,38.301421055337,NaN,NaN,NaN,NaN,NaN,NaN
10,5.20293654754508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0609763934163165
15,NaN,0.341910808252077,NaN,NaN,NaN,16.7863395681927,144.834798915741,30.004096434501,NaN,NaN
20,NaN,NaN,0.289667762945231,36.2423439739788,0.156752091239339,NaN,NaN,NaN,0.282556469813766,0.057906891665367
25,5.91540308415128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.318429567909271,NaN
30,NaN,0.360321100863415,0.170427745317081,36.8946580128241,NaN,16.1007790758923,139.714610370624,35.0996380193217,NaN,NaN
35,6.33755090770059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.258635854235941,0.0500009121547106
40,NaN,NaN,0.0962860637633243,32.002334553105,0.269985107014418,NaN,95.717336684345,NaN,NaN,NaN
45,NaN,0.308888999877966,NaN,NaN,NaN,43.1712960650119,NaN,26.4161463088643,NaN,0.0426952487440573
50,6.08275563688343,NaN,0.113412391601549,NaN,NaN,NaN,NaN,NaN,0.22362240699105,NaN
55,NaN,NaN,NaN,29.8546285273368,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,0.30917172948628,NaN,NaN,0.39003244249299,38.604194474211,88.9730169716216,27.8921694926042,0.255234874195228,0.032055580926106
65,6.61631055128572,NaN,0.0969249727839964,33.9009018675868,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,91.4645111827277,NaN,0.184322357336419,NaN
80,5.64432454854595,0.23146300672916,NaN,NaN,0.366278973572582,53.4443191276736,NaN,19.3182602312389,NaN,0.0397251744027272
85,NaN,NaN,0.100530683379297,28.4737339958738,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.195143704844363,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,82.6205276677753,NaN,NaN,0.0369621309608674
100,7.00791369207437,0.271812566871359,0.138967952665547,31.9355857768461,0.436287853489863,53.3188184485224,63.8492437435306,25.5607678766108,0.234988654488413,0.0419428617220339
150,4.51887525882563,0.227783529656206,0.0667379550028398,38.9269814743426,0.368371256238141,66.622843325182,62.0755299363206,22.4210422291956,0.147482185049247,0.0475039421908958
200,4.95860127062187,0.178401867710542,NaN,NaN,0.382250460186039,53.7236798749929,61.9651772249009,26.7724879376544,NaN,0.0437146879799076
250,NaN,0.205737041195672,NaN,NaN,0.37948732755143,77.0359872343359,77.3809310708303,19.7500847809823,NaN,NaN
300,NaN,0.28133868039284,NaN,NaN,0.386749994783872,65.2194932339104,62.9474910184634,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,0.416685798790555,NaN,NaN,NaN,NaN,NaN
