t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,p1EpoRpJAK2_Obs
0,6.73481035137181,0.000976499551944272,139.449383780809,150.963816255122,-1.8802936013232,0.845882076887156,11.4756561381652,-0.00132046855387483,-1.94631441985357e-05,-5.50174144217387e-06,0.000468831352783467
5.5,5.10592220667016,0.297102755275207,NaN,29.1466938824815,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,-9.95662899149865,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0585303307817855
7,NaN,NaN,NaN,NaN,125.342148759458,NaN,-19.5030026839768,NaN,NaN,NaN,NaN
10,5.90925592248073,0.26640786332192,129.881599004459,21.6055216579935,NaN,25.161962326169,NaN,0.000123137783713772,0.000550891140016832,0.000482899689289702,NaN
15,6.20061991400724,NaN,NaN,28.7570775527533,106.594773139846,NaN,11.5771774427248,NaN,NaN,NaN,0.0381296111258536
20,NaN,0.233670362262247,141.841825873061,NaN,101.317678294704,170.157363532205,50.0260268702255,0.000688922577562146,NaN,0.000840074669443706,0.0336815745340411
25,6.13948057605312,0.221535339168971,NaN,51.050527089587,NaN,318.310569238337,NaN,NaN,0.000805160902568356,NaN,NaN
30,6.16026255826375,0.221764298661778,143.350999117129,56.5366247774361,78.0822977946493,NaN,257.95181369747,NaN,NaN,NaN,0.0263168092321478
35,6.41358808021569,NaN,NaN,69.3433748235621,NaN,682.612123314341,370.824695681026,0.0172851947325401,0.000753531797300658,0.000770134095307084,0.0242415298327371
40,NaN,0.199499952115623,NaN,NaN,69.6534556976472,813.50532624169,NaN,NaN,NaN,NaN,NaN
45,6.02898673047889,NaN,139.902882550968,82.6946594749149,60.3559279752147,NaN,649.615881640218,0.0377966164351368,NaN,0.000654556861528575,0.0219483772440644
50,NaN,0.189673074021613,NaN,NaN,NaN,999.05625154075,NaN,NaN,0.000584313470660907,NaN,NaN
55,6.22493811658207,NaN,141.088412322117,88.8926870332573,NaN,NaN,887.446429058698,NaN,NaN,NaN,0.018889668398781
60,NaN,0.182937552326789,NaN,NaN,46.0559070273579,1020.1348985599,NaN,0.0653069588061124,NaN,0.000510618343909456,NaN
65,6.11176431540634,NaN,NaN,100.161395059203,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,140.701920963001,NaN,38.7309856361141,NaN,971.097268206336,NaN,0.000426151101005491,NaN,0.016767066448729
75,NaN,0.169231274094167,NaN,105.943049045778,NaN,954.51760654889,NaN,0.0789703902889611,NaN,0.000410549817552981,NaN
80,6.09711962261236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.018477563572933
85,NaN,NaN,138.879495517303,NaN,32.256360785015,NaN,915.023862158453,NaN,0.00035693116808681,NaN,NaN
90,NaN,NaN,NaN,115.100088275419,NaN,786.676251140395,NaN,0.0780703560190056,NaN,NaN,NaN
95,5.98467839203721,0.172297082902442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000312134481320577,NaN
100,6.20083256618346,NaN,141.470186104799,122.391850614248,22.5579818093229,705.113499608143,798.081056982018,0.0742726536068221,0.00029120526472848,0.000288790756714796,0.0167296620881415
150,NaN,NaN,141.609265103196,131.859685774322,17.6261723945882,357.712522102333,414.351027594124,0.0416133162762617,0.000165699500073187,0.000176361970576504,NaN
200,NaN,NaN,141.663047166004,NaN,NaN,NaN,NaN,0.0261295043795515,0.000164525050545287,0.000145402327962516,NaN
