t,IRp_Obs,IRiP_Obs,IRSiP_Obs,XX_Obs
0,4.33123075558142e-09,1.19097829221758e-05,0.306412478570934,8.89141332613821
0.45,NaN,NaN,NaN,9.37344795372229
0.9,NaN,NaN,NaN,12.3173386975605
1,6.56838103359404e-08,NaN,2.83745414133932,NaN
1.5,NaN,0.000163467437423927,NaN,8.96701741237005
2,NaN,NaN,10.7971147446315,8.28866822773346
2.5,1.99176390563618e-07,NaN,NaN,13.1455499665284
3,NaN,0.000460747649395711,2.58579172362505,7.02910959368376
3.5,2.53099304646501e-07,NaN,NaN,NaN
4,NaN,NaN,NaN,10.8173831220637
4.5,NaN,NaN,2.547149591213,7.92107063435315
5,2.72019379797961e-07,0.00108896141296636,NaN,NaN
5.5,NaN,NaN,5.6761508216994,6.12162493816994
6.5,7.72595607264622e-07,NaN,NaN,NaN
7,NaN,0.000519443174317535,8.27234497107343,10.3991295184317
8.5,8.20971334314178e-07,NaN,4.26932705030298,4.62464749218502
9,NaN,0.000582405296766163,NaN,NaN
10,3.92491012969633e-07,0.000571592221229853,6.41864803843016,NaN
15,3.18117247207524e-07,0.000374963166301075,5.95214063639388,NaN
20,3.94972235394212e-07,0.000346800469347531,4.73831909294044,NaN
