t,IRp_Obs,IRiP_Obs,IRS_Obs,IRSiP_Obs,XX_Obs
0,4.18618182792326e-09,1.65516258503515e-05,8.12168346218528,0.426581702030892,10.874508404642
2.5,NaN,NaN,3.63660311728367,3.44749038283757,NaN
3,7.90043216777059e-07,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,17.3253972932996
4.5,NaN,0.000532390267256981,NaN,NaN,NaN
5,NaN,NaN,4.40120642871803,6.49361721319694,NaN
5.5,6.05212795711183e-07,NaN,NaN,NaN,NaN
7.5,NaN,NaN,3.37339431571,6.89044099281509,NaN
8,NaN,NaN,NaN,NaN,17.2406413926841
8.5,2.66671333532763e-07,NaN,NaN,NaN,NaN
9.5,NaN,0.0007419569659521,NaN,NaN,NaN
10,7.53903150780339e-07,NaN,2.83991190929796,2.65856725821478,NaN
15,2.50949552108704e-07,0.000538466338409473,4.57101658735365,2.59836592100948,9.50747597861019
20,2.17054861091899e-07,0.000363223906266302,4.74500765651258,5.12371801904215,NaN
25,4.36631189683385e-07,0.00030516811713122,11.0306074525208,4.0572771579283,12.1761993428863
30,1.85180924612002e-07,NaN,5.20330586196378,NaN,10.7291460391128
35,1.16514561784634e-07,0.00044054003299797,NaN,5.66444204154456,13.4605107124364
40,NaN,0.000400584450223376,8.40779476357075,3.19204699952708,NaN
45,2.07283372263199e-07,NaN,7.89510857678495,NaN,7.23462431300965
50,NaN,0.000871167850547191,NaN,NaN,NaN
55,2.94592545237315e-07,NaN,NaN,NaN,12.9710885267307
60,NaN,0.000325656179216029,NaN,NaN,NaN
70,NaN,0.000381380994478536,NaN,NaN,NaN
