t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,1.11951406084492,1.12734190347736,1.10806924588449,1.04271133859489
9.5,NaN,0.930628045675451,NaN,NaN
10,NaN,NaN,1.01605614207176,0.943241737109859
15,0.968706000549165,NaN,NaN,NaN
20,NaN,0.934447123785327,NaN,1.06392813053792
25,1.11579147637319,NaN,0.937335091724681,NaN
30,NaN,1.04052074730085,NaN,NaN
35,NaN,NaN,1.00045805730105,1.03011643681757
40,NaN,1.01327664713551,NaN,NaN
45,1.01339102609774,NaN,NaN,NaN
50,NaN,NaN,1.03070608361145,0.984483045220403
55,NaN,1.01449024025468,NaN,NaN
60,1.02417979035386,NaN,NaN,NaN
65,NaN,NaN,NaN,0.939349663907566
70,NaN,0.998986165652041,0.974788709966393,NaN
80,0.913501729648062,NaN,NaN,NaN
85,NaN,1.02691892526611,NaN,0.957781645847975
90,NaN,NaN,1.04395506841541,NaN
100,1.07502599609022,NaN,NaN,NaN
