t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,0.956020600206032,0.97994984449626,1.02269617468376,1.04634842263674
45,NaN,NaN,0.861572670980047,NaN
55,NaN,NaN,NaN,0.385751634400427
60,1.77490016220614,NaN,NaN,NaN
75,NaN,0.922765030887101,NaN,NaN
90,NaN,NaN,0.693425365592235,NaN
100,2.6348311608799,NaN,NaN,0.287580813867127
150,NaN,0.783043120040442,0.672064383422514,0.26582838028806
200,3.35271415030049,NaN,0.709712820050021,NaN
250,4.52471696151706,0.624789699227487,0.678643914203595,0.417512051233647
300,NaN,0.715666585096812,0.695009027329249,0.481466918206648
350,5.8961726502985,NaN,0.793129887622938,0.53000341577943
400,5.83495078624684,0.634394888387111,NaN,NaN
450,NaN,NaN,0.864872739795061,0.606001847058239
500,NaN,0.743825746195756,NaN,NaN
550,6.06002888097839,NaN,0.916549788238321,0.686240905653353
650,6.49849827578774,0.748166913156418,0.891664051763258,0.819951401875023
750,NaN,NaN,0.900617776853941,0.863163114202526
800,6.90269080314253,0.798333616162948,NaN,NaN
900,NaN,NaN,0.969743529087149,0.861201103622356
950,6.11874476059282,NaN,NaN,NaN
1000,6.19555744770049,0.873923096564705,NaN,0.86753725908199
1500,5.54586367155422,1.20215941575111,NaN,NaN
