t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,1.05704620599971,0.981257518748266,1.13193325487719,1.04595579287538
10,0.956429970531679,0.864584803261387,1.08217569755506,0.995830649911935
20,NaN,1.05688480559188,1.06998841342658,NaN
25,1.0429667334505,NaN,NaN,0.951450628570208
35,NaN,1.05227064944107,1.02141360657178,NaN
40,1.06757448436941,NaN,NaN,1.06543891995993
45,NaN,1.01765380351173,NaN,NaN
50,NaN,NaN,1.11768209612934,NaN
55,1.0204268803147,NaN,NaN,0.946019595484057
65,NaN,0.922587079337443,1.07680742232099,NaN
70,NaN,NaN,NaN,0.991164492511875
75,0.949853742427173,NaN,NaN,NaN
80,NaN,1.00008550727282,1.04557717994245,NaN
95,1.11590723666493,NaN,NaN,1.03954732825983
