t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,0.880724007142026,1.00846391803866,1.0560884057538,1.0161514687992
60,2.07064073462883,NaN,0.890202816130694,0.538566518742381
70,NaN,1.02550186826443,NaN,NaN
100,2.41487360591816,NaN,0.781667794015575,0.552191594125216
150,NaN,1.10784952305667,NaN,NaN
200,3.3871367486966,1.02235729765405,0.783035790567617,0.691069944038293
250,3.44540912703203,NaN,0.814748785038985,0.662843137339629
300,NaN,1.21534209437723,0.863149871806933,0.767451290080922
350,4.17216992313007,NaN,NaN,NaN
400,3.35844317723657,1.11722895784107,1.00055687173688,0.912300432076813
500,4.14988688775057,1.09427144956825,1.02121018786138,0.875893089258233
600,3.82599194441044,NaN,0.932632833581468,1.01156771872794
650,NaN,0.96135293490417,NaN,NaN
700,3.87274914716005,NaN,NaN,0.946209692605292
750,NaN,NaN,0.972254974863528,NaN
800,NaN,0.856517080031834,NaN,NaN
850,3.67309900101698,NaN,NaN,1.04909650133367
900,NaN,NaN,0.94418420435753,NaN
950,NaN,0.66239819176005,NaN,NaN
1000,3.73809275123907,0.628893816252248,1.00513006821053,0.950440788761025
1500,2.83017061858597,0.361776805697471,NaN,NaN
