t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,1.00856175191144,0.960203551178676,1.02326762288977,1.02875922288109
55,NaN,NaN,0.824077065461864,NaN
60,NaN,NaN,NaN,0.510658829121778
65,1.86016495762016,NaN,NaN,NaN
70,NaN,0.900844514897325,NaN,NaN
100,NaN,NaN,0.822507802647519,0.455918548548237
150,3.22803222214631,0.941868207735701,NaN,NaN
200,3.2798053497577,0.839479448670039,0.743132650150881,0.560968384744855
250,NaN,NaN,0.812015711813782,0.593862755273955
300,4.09420593014922,0.826246448871169,0.883582526759691,0.768532758791031
350,3.94108199439301,NaN,NaN,NaN
400,NaN,0.727718284887889,0.899314171022534,0.84898990038537
450,4.69169193828844,NaN,NaN,NaN
500,NaN,0.602179044228663,0.844169533702992,0.922935229676211
550,4.48828881515768,NaN,NaN,NaN
600,NaN,0.491283632779548,0.970553511279311,0.90554724540799
650,4.28947090812099,NaN,NaN,NaN
750,NaN,0.370124052987203,0.950713721325399,0.95627109805638
800,3.6652670297793,NaN,NaN,NaN
900,NaN,0.307806483798395,0.88855832500743,0.901293181778619
1000,3.64638482556107,0.285859706010026,1.0508697630931,0.968893148023083
1500,3.51785398278685,0.126684138243796,NaN,NaN
