t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,0.983439496593043,0.941601848693417,0.932918611250033,0.919887832973944
9,NaN,1.03225765675546,NaN,NaN
9.5,1.07853270518419,NaN,NaN,NaN
10,NaN,NaN,0.937705271135366,1.05577748104893
20,1.10514786413028,1.00834261738623,1.04315550290948,NaN
25,NaN,NaN,NaN,0.957720983517013
30,1.10484289769093,1.01038449016751,NaN,NaN
35,NaN,NaN,0.896156372320361,1.03127475491191
40,0.983081753353854,1.09968418496492,NaN,NaN
50,NaN,NaN,0.962255226728512,0.976172547123227
55,0.983957912090911,0.97066426273902,NaN,NaN
65,NaN,NaN,1.00772327355076,0.923067441600073
70,1.01782866273421,0.983120751328553,NaN,NaN
80,NaN,NaN,1.03676287067544,NaN
85,1.04802780228398,NaN,NaN,0.992366228609865
100,NaN,NaN,0.963918255367029,NaN
