t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,0.88228337464471,1.01493676382603,0.930554790431943,0.994451079654206
55,NaN,NaN,NaN,0.566094858403388
60,NaN,NaN,0.867210117587357,NaN
65,1.8489270629319,NaN,NaN,NaN
75,NaN,1.05372023171744,NaN,NaN
100,NaN,NaN,0.825672608428163,0.487835958502092
150,3.18521791459765,1.01999679070282,NaN,0.507262585390803
200,3.38073431650712,NaN,0.782157995890065,NaN
250,NaN,1.00341704528495,0.780281566196818,0.689139461086075
300,3.93703245679493,1.07852539388643,0.847734684978261,0.710230905850264
350,4.35875280293566,NaN,NaN,NaN
400,NaN,0.93805442164402,0.843924140353938,0.841753844792065
450,4.51964646719223,NaN,NaN,NaN
500,NaN,0.93717509206877,0.941872410023789,0.811479110339937
550,4.35320583601394,NaN,NaN,NaN
600,NaN,NaN,0.976373783805528,0.995165967361596
650,NaN,0.776413432058909,NaN,NaN
700,4.27426807411189,NaN,NaN,0.920169404412148
750,NaN,NaN,0.872108709967337,NaN
800,4.18733298752371,0.654194661526466,NaN,NaN
900,NaN,NaN,0.952308030979425,0.954903604201175
1000,3.95726405844626,0.553036740740725,1.0672190146264,0.957992036658862
1500,3.43396690939525,0.335481351873306,NaN,NaN
