t,geneD_Obs,geneI_Obs,geneJ_Obs,geneL_Obs
0,1.03239309125141,1.0087556504179,0.932354356968355,0.991959850918033
9.5,NaN,NaN,1.0073457065344,NaN
10,0.996963431726226,1.0213804739769,NaN,0.967009914669465
20,NaN,NaN,0.970629384474764,0.975301344520741
25,0.950158987654002,1.20289045234222,NaN,NaN
30,NaN,NaN,1.08150245841714,NaN
35,NaN,NaN,NaN,0.934707774012848
40,1.05575619719229,0.970857360144593,0.938195716664198,NaN
45,NaN,NaN,NaN,0.973069667514141
55,0.947638653425817,1.08739275130708,0.929541241125655,NaN
65,NaN,NaN,NaN,0.93402955158346
70,0.953194010553421,1.00948629437641,0.909042285648628,NaN
80,NaN,NaN,NaN,0.880808212418249
85,NaN,NaN,1.02168114713863,NaN
90,1.03258040505607,NaN,NaN,NaN
95,NaN,1.10202901720244,NaN,NaN
