t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me1K36me3_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs
0,0.00701385471846047,0.00602100752733294,0.000756219597326007,0.139366769428239,0.00544851747359522,0.00559554174137872,0.0471412851169459,0.334174450451265,0.0124577213267523,0.125906390938737,0.00157920315026581,0.00254495623714107
0.3,0.00150098499717355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.55,0.000657309657506708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9,-0.00011110444624268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-0.000690175442878718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,-0.000247401005252238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-1.50830347092473e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,9.17188085653415e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00557905176886378,NaN
3.5,NaN,NaN,NaN,0.0784277565060144,NaN,NaN,0.047736488414485,NaN,0.0110771036966498,NaN,NaN,NaN
4,NaN,NaN,0.000565807447063423,NaN,0.00132174312574047,0.00525688507202159,NaN,0.774401101949648,NaN,0.17635236094872,NaN,0.00148576639542218
4.5,NaN,0.00190054352516943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00355406849643741,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0250445064477256,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.0840765096666352,NaN,NaN,0.0547821172270009,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.000143990579452829,NaN,0.00492163862912286,0.00629395665174523,NaN,0.51573051469135,NaN,0.103877287096302,NaN,NaN
8.5,NaN,0.0013457940005512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00370246522474061
10,NaN,NaN,0.000351414986608529,0.149354692142787,0.00378854257152387,0.00900703474534786,0.0237417461548488,0.229873176961561,0.00242884265935121,0.145977605866561,0.00385183122137567,NaN
15,NaN,0.00143734649169393,0.000347680863156637,0.0789834255799814,0.00471450437414093,0.00391019137578559,0.0464075299847088,0.742218459351663,0.0119718993265841,0.138699139293988,0.00452737674301768,0.00230789620266641
20,NaN,0.000567151183417416,0.000276126832796316,0.0930225077532882,0.00422525709924644,0.00349432023432176,0.0337016642992966,NaN,0.0146903446516238,NaN,0.00440078138952009,0.00311839395969408
25,NaN,3.44117119225072e-05,0.000319650921485425,0.0601918527559033,0.00614231415262153,0.00557788042692407,0.0221064898285257,1.46281261610087,0.0214540268200807,0.135540351913733,0.00351802090048742,0.00226889273349363
30,NaN,-0.000403252307772165,NaN,NaN,NaN,NaN,NaN,0.5350321825616,0.0126650558600721,0.079407162256584,0.00568576359115385,0.00150315945464644
35,NaN,NaN,0.000603979630242524,0.0264826791234913,0.00386410374765171,0.00385331956304332,0.0328916806035332,NaN,0.005274707218918,NaN,NaN,NaN
40,NaN,0.000100995288715359,0.000458958130667784,0.00934975025039607,0.00392079788418373,0.00692749395509767,0.0266269836637125,0.517490702444044,0.0172046193511912,0.136724811612167,0.00430031282989138,0.00363266669687311
50,NaN,0.000197931320394559,0.000296191468947581,0.021879031764488,0.00617643415152189,0.0105535797919992,0.0258482169027702,1.25354033949529,0.0125652446344622,0.144331030969183,NaN,0.0028753034171471
60,NaN,0.000744095776391056,0.00036373585630156,-0.01315663724782,0.00595165134050551,0.00651773326140829,0.0247162508390976,0.741987790035323,0.013786876803282,0.130914729338678,NaN,0.00269864250385953
