t,p1EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,1.05618004417183e-05,1.08684046065766e-06,0.0179745848189504
30,0.00887749403216986,NaN,NaN
35,NaN,0.0013559219461327,NaN
50,NaN,NaN,1.81074544341898
60,0.007441524416006,NaN,NaN
75,NaN,0.00119641923365097,NaN
90,0.00161755212080374,NaN,NaN
100,NaN,0.00206912950670083,1.94791335778223
150,0.0262793678922625,0.000107551011381361,0.812846613333104
200,0.00473344612914454,5.76543037811394e-05,1.29948221292382
250,NaN,7.77913878396678e-05,0.778504650810974
300,0.00150478335101204,NaN,NaN
350,0.00959578350505149,0.000119460675723973,1.16623321373633
400,NaN,0.000131303450443021,NaN
450,NaN,NaN,6.82301667424449
500,NaN,0.000627822055992623,NaN
550,NaN,NaN,2.73732046416245
650,NaN,NaN,2.42629762303849
800,NaN,NaN,1.1001665209016
