t,epo_level,SOCS3nRNA5_Obs,SOCS3_Obs
20,2.5e-09,1.20449230573458e-05,0.0137096337986437
20,2.5e-09,3.94099314508712e-05,0.038451175878721
20,2.5e-09,6.62887014405047e-05,0.00610088271180544
20,2.5e-08,0.000102801661907148,0.0186925022807071
20,2.5e-08,0.000377677111376036,0.0756368032951976
20,2.5e-08,0.000846031944079461,0.0684882869134941
20,1.25e-07,0.000757011829229635,0.915073484831593
20,1.25e-07,0.00444887705115946,0.292267342060872
20,1.25e-07,0.00516972373327196,0.791756936715815
20,2.5e-07,0.000966111541373992,1.30649065247074
20,2.5e-07,0.00251717878829886,0.176304140514106
20,2.5e-07,0.0025306202495227,4.32498714953324
20,1.25e-06,0.0029004150675556,1.58667170464121
20,1.25e-06,0.00722716851999492,0.95061497422494
20,1.25e-06,0.00826524908509233,0.465670179196601
20,2.5e-06,0.00107578865638444,1.66230958239259
20,2.5e-06,0.00212309063754566,1.20969418401996
20,2.5e-06,0.00504109141210347,1.31438831454194
