t,p1EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,0.000217945093354229,2.74703992606954e-06,0.0102124663548239
10,0.105142178062383,NaN,0.0116059986013229
15,NaN,7.1521134512071e-05,NaN
20,0.0394494335462105,NaN,NaN
25,NaN,NaN,0.156740825155617
30,NaN,0.00145944329865267,NaN
35,0.0815880457011462,NaN,NaN
40,NaN,NaN,0.752776671830629
45,0.0444939965826193,NaN,NaN
50,NaN,0.000864149343667812,NaN
55,NaN,NaN,1.38819531474289
60,0.0147246610899074,NaN,NaN
65,NaN,0.000211183431218196,NaN
70,NaN,NaN,3.7958840683933
75,0.00939984165971727,NaN,NaN
85,NaN,0.000409643468191563,2.11549645354849
95,0.0119292790445605,NaN,NaN
100,0.0129356088406808,0.00208384135983665,3.83713282401855
150,0.0190206032592288,0.00104492237669718,3.31300369072451
200,NaN,0.000174370319818383,0.953906632658897
250,NaN,0.000888596744092398,0.974547128543717
