t,p1EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,2.73939896105227e-05,5.27351120439035e-08,25.353902764052
9,NaN,NaN,249.335571377447
15,0.0109577929203455,5.49765419151637e-06,NaN
20,NaN,NaN,30.8377615131388
25,NaN,1.7538489683377e-05,NaN
30,0.00226487054117231,NaN,46.8686499112836
40,NaN,5.18129260937554e-06,11.4225837222059
50,0.00208941967601759,NaN,33.7811030270967
60,NaN,1.29774445527595e-05,NaN
65,0.0114432425743683,NaN,153.425347491872
75,NaN,1.70665651066605e-05,NaN
80,NaN,NaN,31.7031290478531
90,0.00158031567161395,NaN,NaN
95,NaN,5.4131676267329e-05,314.568181785319
100,0.0112184599726248,7.78826989154795e-06,73.8847850398148
150,0.00192081757629592,7.41676355492037e-06,24.5092584882153
200,0.000909594293939627,6.06773657146352e-06,NaN
250,NaN,5.82370121318711e-06,NaN
