t,p1EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,4.89086661649006e-06,6.77482142769485e-07,0.148460979369315
6,0.0306012988971794,NaN,NaN
9,NaN,NaN,0.0378328897615368
10,0.0102380589789646,NaN,NaN
15,NaN,0.000749357996865626,NaN
20,0.0142515328925638,NaN,0.147186813137897
25,0.00852240743285209,0.00055770295938581,NaN
30,NaN,NaN,1.70102290451447
35,0.00330060965462656,NaN,NaN
40,0.00290472840602032,0.000166612519674891,1.9747422779603
50,NaN,NaN,5.54367372653422
55,0.00344841875952724,NaN,NaN
60,NaN,0.000718211294779184,3.64056466066385
65,0.00173397584450958,NaN,NaN
75,NaN,0.00134670567145636,1.21208516758045
80,0.00411674470845986,NaN,NaN
90,NaN,NaN,3.3799418267409
95,0.00140775095128203,6.13041061130762e-05,NaN
100,NaN,0.000457641294258786,3.66216189609112
150,NaN,0.00038462960497024,1.21445534673398
200,NaN,9.83942508688938e-05,3.39139662030208
