t,epo_level,p1EpoRpJAK2_Obs
140,2.5e-09,0.000710031013315859
140,2.5e-09,0.00087711481281711
140,2.5e-09,0.00124105993385323
140,2.5e-08,0.000503584476973768
140,2.5e-08,0.00175430349626252
140,2.5e-08,0.00241091050790467
140,1.25e-07,0.000823643306140126
140,1.25e-07,0.00503061175270143
140,1.25e-07,0.00550120667364602
140,2.5e-07,0.00232943055218555
140,2.5e-07,0.00457778717021392
140,2.5e-07,0.0159899529289139
140,2.5e-06,0.0033554548722586
140,2.5e-06,0.00403113563772626
140,2.5e-06,0.0611839910243927
