t,p1EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,4.44083507976276e-05,1.55687445292881e-06,0.0118230780829987
9,0.0611316017142085,NaN,NaN
10,NaN,NaN,0.0349856561497374
15,NaN,0.000184355569007227,NaN
20,0.011082062402375,NaN,0.398305346014608
30,0.0149898294460372,0.000511897404911011,1.00497392506712
40,0.00508534918169169,NaN,NaN
45,NaN,0.000991479537192324,4.76970776197959
50,0.0291793168742634,NaN,NaN
55,NaN,NaN,5.59646389005921
60,NaN,0.00130517109486068,NaN
65,0.00353358547035419,NaN,NaN
70,NaN,NaN,5.09388310156662
75,NaN,0.00414615362685472,NaN
80,0.0025801845110641,NaN,NaN
85,NaN,NaN,1.72794139358185
95,NaN,0.000569392515161452,NaN
100,0.00756761799536916,0.000396195937167345,4.02090833193476
150,0.00257902889738946,0.000203694419888599,4.71954555452195
200,NaN,0.000215232632627118,2.71476524423669
