t,epo_level,SOCS3_Obs
7,2.5e-09,3.1472818261947e-05
7,7.905e-09,3.73577301047924e-05
7,7.905e-09,6.17622866594846e-05
7,7.905e-09,0.00011452199417977
7,1.25e-08,3.4695008665559e-05
7,1.25e-08,8.3951764737893e-05
7,1.25e-08,0.000144477033762867
7,1.75e-08,5.23500178182952e-05
7,1.75e-08,8.89638297312544e-05
7,1.75e-08,0.000297292793354017
7,2.5e-08,0.000264541806827398
7,3.95e-08,0.000282392028653865
7,3.95e-08,0.000418537370138057
7,3.95e-08,0.000435121733798408
7,7.9e-08,0.000907769478604965
7,1.25e-07,0.00330302768532415
7,1.7675e-07,0.00137902817823986
7,2.5e-07,0.000769585378174484
7,7.905e-07,0.00324697168390382
7,7.905e-07,0.0111922816965732
7,7.905e-07,0.0127783266802091
7,2.5e-06,0.00711666199394506
