t,p1EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,1.61091824479877e-05,9.1842829380399e-08,57.8628674592349
10,0.00517375365884236,4.82387846865884e-07,29.2016482029936
20,NaN,5.53001345791885e-06,196.624561953603
25,0.00208592101652971,NaN,NaN
35,NaN,5.90797826534116e-06,53.3125459666761
40,0.000398202792880371,NaN,NaN
45,NaN,3.60098936089765e-05,115.500803896991
55,0.00251709184884346,NaN,NaN
60,NaN,8.44560420373533e-05,169.666304668538
75,0.00044850104143407,5.4378269385717e-06,151.574853006153
90,NaN,1.46435407136112e-05,NaN
95,0.00249808587819135,NaN,141.945470690456
100,0.00136105631401185,3.34678870038718e-05,54.1135528622881
150,0.001342258312491,5.52493370010381e-05,312.907135108162
200,0.00101788778844393,6.19948683534438e-06,42.4077018255784
250,NaN,7.1731578360364e-05,NaN
