t,p1EpoRpJAK2_Obs,npSTAT5_Obs,pSTAT5_Obs
0,2.90945894774076e-06,0,0
15,0.0578965763025817,NaN,94.4254726381993
20,NaN,14.6252668078636,NaN
30,0.00472889095588044,NaN,NaN
35,NaN,NaN,250.420003022669
40,NaN,38.4794035844179,NaN
45,0.0111144254116049,NaN,NaN
50,NaN,NaN,50.0902301409363
60,0.0276454645126189,NaN,NaN
65,NaN,8.27677530570683,NaN
70,NaN,NaN,30.2527707573681
80,0.00441090722879225,NaN,NaN
85,NaN,4.28461693747913,NaN
90,NaN,NaN,4.82035273254332
100,0.00957123817747263,21.1043248419092,22.2456105394297
150,0.00372181926861321,8.7350462168271,5.37300998316033
200,0.00317601986189493,4.80443237002477,61.368589181584
250,NaN,2.89380838620201,5.6005769773007
300,NaN,NaN,37.3992851416262
350,NaN,4.84961280013463,38.0300664926169
400,NaN,6.87135135801885,NaN
