t,p1EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,1.98314452622174e-05,1.17964763235701e-06,0.00319346992950684
7.5,0.0127460953578256,NaN,NaN
9.5,NaN,NaN,0.01719103090321
10,NaN,0.000114214089841425,NaN
15,0.0198742929422162,NaN,NaN
20,NaN,NaN,0.182504028916284
25,0.00260110483575332,0.00184840962587887,NaN
30,NaN,NaN,1.04874744072431
35,0.00177665078637817,0.00210235867535334,NaN
40,NaN,NaN,1.12733027250687
45,0.00510767150875205,NaN,NaN
50,NaN,0.000272341170925439,NaN
55,NaN,NaN,2.10750539340768
60,0.00231844310401798,0.000247475446604698,NaN
65,NaN,NaN,2.11836946190178
75,0.00294928984725174,NaN,NaN
80,NaN,0.000983319174821126,2.81853949396066
90,0.00234523621404758,NaN,NaN
95,NaN,0.000724758041489812,NaN
100,0.00535710488348604,0.000444470209435102,5.63913449189084
150,NaN,0.00038392262177004,7.84580979019328
200,NaN,5.19137498918498e-05,1.11588397306473
