t,epo_level,SOCS3nRNA5_Obs,SOCS3_Obs
10,2.5e-09,0.00090482710475449,0.0522902829527052
10,2.5e-09,0.000823834555165232,0.0632796876096982
10,2.5e-09,0.000123522273270205,1.07011600470142
10,2.5e-08,0.000273841209818424,0.0713546909079295
10,2.5e-08,0.00206431207688071,0.0993088103800238
10,2.5e-08,0.000556123627320846,0.0194913965542473
10,2.5e-07,0.000491899836382234,0.166262086806603
10,2.5e-07,0.000613929523819909,0.0210134935094613
10,2.5e-07,0.000883454742253631,0.14351921132058
10,2.5e-06,5.73294625946401e-05,0.00333025170007271
10,2.5e-06,8.30112840000353e-06,0.00193557893949466
10,2.5e-06,0.00017448172949855,0.000372567552206426
10,2.5e-05,1.11059539310812e-06,0.00105116414989274
10,2.5e-05,1.69645309441643e-06,0.00027101299396923
10,2.5e-05,2.77978840188944e-06,0.00034615941679406
