t,IPR_A_Obs,Compound_1_Obs
0,0.0464503573566167,0.952533705219961
0.35,0.634801997700069,0.844268096375329
0.7,0.508417290641131,NaN
0.75,NaN,0.901065904227646
1,0.499727091953089,0.801008010167304
1.5,0.472370956173783,0.817373331337794
2,0.487764968617498,0.837971936127107
2.5,0.527477943339054,0.705762003858673
3,0.570001200586011,0.704768341831403
3.5,0.506093255289353,NaN
4,NaN,0.81005112277181
4.5,0.506732022751428,0.822415571401729
5.5,0.42303736889041,0.774836585121658
7,NaN,0.767259537032482
