t,IPR_A_Obs,Compound_1_Obs
0,0.0389900319061692,1.05339523749937
0.2,0.772162042393533,NaN
0.25,NaN,0.756166583986224
0.4,0.592140432599507,NaN
0.45,NaN,0.553376166126404
0.6,0.53975778574405,NaN
0.7,NaN,0.500500489910727
0.85,0.424923477834621,NaN
0.95,NaN,0.434692525788431
1,0.373892056332295,0.382598884559113
1.5,0.312476416449282,0.367154498995128
2,0.359563968591346,0.355656641256951
2.5,0.392467779593679,0.321663974443553
3,0.407878369618987,0.362163820609492
3.5,0.348305620349486,0.374007438127042
4,0.389982574881284,0.431822805665754
