t,IPR_A_Obs,Compound_1_Obs
0,0.0237985550733313,0.959414610864662
0.3,0.448872911064519,NaN
0.35,NaN,0.882110818781532
0.55,0.412123536452276,NaN
0.75,NaN,1.05955599798035
0.9,0.38569362663932,NaN
1,0.345283436519319,0.813769600072973
1.5,0.371756005314352,0.863237497525546
2,0.394320239954081,0.865177516078057
2.5,0.437477307010786,0.829733906285785
3,0.393401014613523,0.867494519399686
3.5,0.379609440448051,0.804142935955878
4,0.416798608801962,NaN
4.5,NaN,0.844946735564351
5,0.34922269796038,NaN
5.5,NaN,0.897241395013317
6.5,NaN,0.993970510402935
