t,IPR_A_Obs,Compound_1_Obs
0,0.0145379142962902,1.08143258309299
0.2,0.81152500906521,NaN
0.25,NaN,0.746503379569839
0.45,0.576249832929807,NaN
0.5,NaN,0.583014626251271
0.7,0.512109808293394,NaN
0.8,NaN,0.580274657857273
0.95,0.499491968926931,NaN
1,0.517674535727522,0.437038300720645
1.5,0.418347811214761,0.532218737514482
2,0.422994003559398,0.446730486701926
2.5,0.463670101737047,0.414392381576307
3,0.511269282041146,0.427609618977177
3.5,0.462973353094971,0.484625434241162
4,0.510805322483059,NaN
4.5,NaN,0.518264691388649
