t,IRSiP_Obs,XXp_Obs
0,-0.447543769119336,-0.000358124095938838
1,2.77683835543559,NaN
1.5,NaN,0.00127502865109356
2,2.72722258753026,NaN
2.5,NaN,0.00175258291685025
3,2.98302642533288,NaN
4,NaN,0.00249239209894088
4.5,3.28766737628083,NaN
5.5,3.97966721362918,0.00407121397201436
7,4.06795621146686,NaN
7.5,NaN,0.00433978704202827
8.5,3.4514136443177,NaN
9.5,NaN,0.0044964106422888
10,3.2786313100915,0.00448297162258343
15,2.77722569450743,0.00428426723381699
20,2.91160409210142,0.00425882973527711
