t,IRins_Obs,IRp_Obs,IRS_Obs,IRSiP_Obs,XXp_Obs
0,0.196593097543322,4.79371135166292e-08,9.1391266835316,0.13199319087663,0.000214320024706471
2,NaN,NaN,NaN,4.04329034011605,NaN
2.5,8.97238235852184,NaN,5.87170179048579,NaN,NaN
3,NaN,5.38190856503891e-07,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,0.00406263201952196
4.5,NaN,NaN,NaN,3.26528356445535,NaN
5,NaN,NaN,7.39463296323474,NaN,NaN
5.5,7.19063843587395,4.45172105395866e-07,NaN,NaN,NaN
7,NaN,NaN,NaN,3.01009382124193,NaN
7.5,NaN,NaN,7.60297415312732,NaN,0.00510495378245786
8,7.05770965671262,NaN,NaN,NaN,NaN
8.5,NaN,4.03439852422365e-07,NaN,NaN,NaN
9.5,NaN,NaN,NaN,2.69516545394539,NaN
10,6.74417922063284,3.89382222063929e-07,6.26852269409927,NaN,0.00383436616178282
15,5.64601022618034,3.29275555885227e-07,7.53834523232929,2.88136266052613,0.00419159319710142
20,4.73076142042283,3.34879209745027e-07,6.68609979328867,2.307143338503,0.0045739028959775
25,4.68448218127644,2.80384343360618e-07,8.49213612986904,2.36780693558041,NaN
30,4.83900473714096,2.29579228890743e-07,NaN,2.64929587576128,0.00321542250833789
35,4.02265208352316,2.49433528426477e-07,7.04826040678268,NaN,0.00405195814436059
40,4.36975182378886,2.68333808125457e-07,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.0040462486275454
50,4.83492248568089,2.32447993364778e-07,NaN,NaN,NaN
55,NaN,2.45872342339981e-07,NaN,NaN,0.00375006903699078
