t,Ins_Obs,IR1in_Obs,BoundUnspec_Obs
0,-0.179379523501575,-0.0307753558119724,0.129826227694046
5,-0.0684867244838822,NaN,NaN
5.5,NaN,0.0876332634827601,NaN
7,NaN,NaN,0.0434755725985082
10,0.0578026870209678,-0.144429720347843,NaN
15,-0.040101447217777,NaN,0.18970729630727
20,-0.12666027282047,0.0244627165976067,-0.0701776809002783
25,NaN,-0.181503678250245,NaN
30,0.0987789591058807,0.00656909938400813,-0.185902916197175
35,0.234318236922552,NaN,-0.271409959798866
40,NaN,-0.0713393290633111,NaN
45,0.0730287613752591,NaN,0.11892432130925
50,NaN,-0.115453269856581,NaN
55,0.0234141726832958,NaN,-0.070049413041798
60,NaN,-0.03646603926025,NaN
65,0.150956033290918,NaN,NaN
70,NaN,-0.111250101771489,-0.0356536543465882
80,-0.0295581716745778,NaN,NaN
85,NaN,-0.00651002849150369,0.0856977594471449
95,0.0194204936099868,NaN,NaN
100,0.0555457109734117,0.0143684960255519,-0.111365752517086
150,NaN,NaN,-0.00979681720291057
